dir,files,tsFiles,testFiles,jsonFiles,mdFiles,bytes,maxDepth,firstCommit,lastCommit,commits,isWorkspaceTop,hasTsconfig,hasPackageJson,filesWithMarkers,markerHits,provisionalClass,adjudicated
.ci,2,0,0,0,1,7179,0,2026-01-24,2026-01-24,1,false,false,false,1,truth,DATA_OR_DOC?,no
.claude,2,0,0,1,0,12014,1,2026-01-11,2026-01-18,7,false,false,false,0,,DATA_OR_DOC?,no
.github,24,0,0,1,8,105899,2,2025-12-28,2026-02-09,16,false,false,false,5,emotion|memory|runner,DATA_OR_DOC?,no
.test-cache-concurrent,1,0,0,1,0,68,0,2026-02-12,2026-02-12,1,false,false,false,0,,DATA_OR_DOC?,no
EXPORT_FULL_PACK,127,0,0,0,85,138211,2,2026-01-11,2026-01-11,1,false,false,false,19,emotion|memory|oracle|pipeline,SNAPSHOT?,no
GOVERNANCE,74,56,0,5,10,442206,2,2026-01-21,2026-02-05,4,false,false,false,32,canon|generate|memory|oracle|pipeline|runner|scribe|style,ENGINE_BEARING?,no
OMEGA_MASTER_DOSSIER_v3.21.0_PERFECT,1,0,0,0,0,3687,1,2026-01-06,2026-01-24,3,false,false,false,0,,SNAPSHOT?,no
OMEGA_MASTER_DOSSIER_v3.61.0,47,0,0,1,0,53530,3,2026-01-11,2026-01-24,3,false,false,false,0,,SNAPSHOT?,no
OMEGA_MASTER_DOSSIER_v3.83.0,47,0,0,1,0,54405,3,2026-01-12,2026-01-24,3,false,false,false,0,,SNAPSHOT?,no
OMEGA_PHASE12,21,5,3,4,0,177417,2,2026-01-04,2026-01-24,6,false,true,true,1,style,SNAPSHOT?,no
OMEGA_PHASE13A,16,8,4,3,0,198647,2,2026-01-04,2026-01-19,5,false,true,true,3,generate,SNAPSHOT?,no
OMEGA_PHASE14,46,23,17,3,0,436705,2,2026-01-04,2026-01-04,3,false,true,true,16,emotion|generate|oracle,SNAPSHOT?,no
OMEGA_PHASE18_MEMORY,27,19,5,3,0,412166,2,2026-01-05,2026-01-17,2,false,true,true,23,canon|emotion|memory,SNAPSHOT?,no
OMEGA_PHASE19_PERSIST,18,11,4,3,0,208124,2,2026-01-06,2026-01-17,2,false,true,true,1,canon,SNAPSHOT?,no
OMEGA_PHASE20_1_MEMORY_HOOK,18,10,5,3,0,154621,2,2026-01-06,2026-01-17,2,false,true,true,14,canon|memory,SNAPSHOT?,no
OMEGA_PHASE20_INTEGRATION,12,5,4,3,0,146209,2,2026-01-06,2026-01-17,2,false,true,true,6,canon|memory,SNAPSHOT?,no
OMEGA_PHASE21_QUERY_ENGINE,15,8,4,3,0,143885,2,2026-01-06,2026-01-17,2,false,true,true,3,canon|style,SNAPSHOT?,no
OMEGA_SENTINEL_SUPREME,54,36,15,3,0,1018352,2,2026-01-07,2026-01-24,6,false,true,true,27,emotion|generate|memory|pipeline|runner|truth,DORMANT,YES
OMEGA_SNAPSHOTS,7,0,0,6,0,3614,3,2026-01-17,2026-01-24,2,false,false,false,0,,SNAPSHOT?,no
OMEGA_SPRINT15,24,11,10,3,0,309684,3,2026-01-05,2026-01-19,3,false,true,true,17,canon|generate|oracle|pipeline,SNAPSHOT?,no
ROADMAP,10,0,0,0,10,31580,0,2026-01-21,2026-01-21,2,false,false,false,7,canon|emotion|judge|memory|pipeline|scribe|style,DATA_OR_DOC?,no
apps,87,57,15,5,1,414767,4,2026-01-16,2026-05-26,17,false,false,false,33,emotion|generate|memory|oracle|pipeline|style|truth,ENGINE_BEARING?,no
archives,39,9,6,3,5,2302699,3,2026-01-09,2026-05-30,22,false,false,false,18,14d|canon|emotion|generate|judge|oracle|runner|scribe|style|truth,SNAPSHOT?,no
artefacts,90,0,0,45,14,2730406,3,2026-01-24,2026-02-08,6,false,false,false,8,14d|canon|emotion|forge|generate|judge|memory|oracle|pipeline|rewrite|scribe|style|truth,DATA_OR_DOC?,no
baselines,2,0,0,0,1,2010,1,2026-01-30,2026-02-04,2,false,false,false,1,generate|oracle|runner,DATA_OR_DOC?,no
bench-results,1,0,0,1,0,6477,0,2026-01-20,2026-01-20,1,false,false,false,0,,DATA_OR_DOC?,no
bin,2,0,0,0,0,2371,0,2026-01-18,2026-01-28,5,false,false,false,2,pipeline|runner,DATA_OR_DOC?,no
budgets,1,0,0,1,0,2625,0,2026-02-12,2026-02-12,2,false,false,false,0,,DATA_OR_DOC?,no
certificates,179,0,0,18,106,317227,2,2026-01-02,2026-01-19,64,false,false,false,32,canon|emotion|generate|memory|oracle|pipeline|runner,DATA_OR_DOC?,no
config,13,0,0,10,0,12438,1,2026-01-28,2026-01-28,4,false,false,false,0,,DATA_OR_DOC?,no
deposit,356,163,11,5,171,2738512,5,2026-02-20,2026-02-23,2,false,false,false,247,14d|canon|emotion|forge|generate|judge|memory|oracle|pipeline|rewrite|runner|scorer|scribe|style|truth|weave,SNAPSHOT?,no
dist,2,0,0,0,0,45732,1,,,0,false,false,false,1,pipeline|runner|truth,DATA_OR_DOC?,no
docs,600,0,0,44,512,9674270,2,2025-12-30,2026-05-31,319,false,false,false,385,14d|canon|dedale|dédale|emotion|forge|generate|judge|k2|memory|oracle|pipeline|r6|rewrite|runner|scorer|scribe|style|truth|weave|weavellm,DATA_OR_DOC?,no
evidence,246,0,0,128,6,5222000,2,2025-12-28,2026-01-16,47,false,false,false,6,memory|runner,DATA_OR_DOC?,no
examples,64,0,0,34,6,58697,5,2026-02-10,2026-02-10,2,false,false,false,3,emotion|forge|pipeline|runner|scribe,DATA_OR_DOC?,no
gateway,305,147,98,42,14,3517291,4,2026-01-02,2026-05-26,75,false,true,true,124,canon|emotion|generate|k2|memory|oracle|pipeline|runner|style|truth,ACTIVE_RUNTIME,YES
genius-integration,4,2,0,0,1,32140,3,2026-02-22,2026-02-22,1,false,false,false,2,pipeline|scorer,PATCH_STAGED,YES
golden,276,6,0,166,7,2197300,5,2026-02-10,2026-02-20,4,false,false,false,6,canon|emotion|generate|pipeline|scribe|style,ENGINE_BEARING?,no
history,36,0,0,0,36,44137,0,2026-01-09,2026-01-11,20,false,false,false,7,memory|pipeline|runner,SNAPSHOT?,no
intents,9,0,0,9,0,10591,0,2026-01-28,2026-02-11,3,false,false,false,0,,DATA_OR_DOC?,no
manifests,8,0,0,0,0,13673,0,2026-01-28,2026-02-01,9,false,false,false,0,,DATA_OR_DOC?,no
metrics,364,0,0,298,4,6157952,4,2026-02-11,2026-02-15,20,false,false,false,1,truth,DATA_OR_DOC?,no
nexus,1320,65,27,199,461,23521281,7,2026-01-06,2026-05-31,318,false,true,true,311,14d|canon|dedale|dédale|emotion|forge|generate|judge|k2|memory|oracle|pipeline|r6|rewrite|runner|scorer|scribe|style|truth|weave|weavellm,ENGINE_BEARING?,no
omega,17,0,0,8,5,198647,4,2026-01-17,2026-05-29,5,false,false,false,5,dedale|forge|k2|oracle|pipeline|r6|scorer|truth,DATA_OR_DOC?,no
omega-autopsie,27192,0,0,3357,78,3731248895,10,2026-03-02,2026-04-21,48,false,false,false,9,memory|pipeline|scorer|style,DATA_OR_DOC?,no
omega-narrative-genome,19,15,1,3,0,127950,2,2026-01-07,2026-01-19,3,false,true,true,8,emotion|oracle|style,ENGINE_BEARING?,no
omega-nexus,16,10,3,3,0,188086,2,2026-01-06,2026-01-17,3,false,true,true,8,generate|memory,ENGINE_BEARING?,no
