author,lang,category,passage,words,composite,ecc,rci,sii,ifi,aai,min_axis
Flaubert,fr,realisme,0,1454,82.19,77.9,85.38,89.33,86.19,79.8,77.9
Flaubert,fr,realisme,1,1448,87.98,90.48,82.25,85.33,79.39,93.6,79.39
Flaubert,fr,realisme,2,1630,82.43,73.11,83.36,83.33,83.3,93.2,73.11
Flaubert,fr,realisme,3,1442,82.54,72.18,85.24,88.2,76.04,93.6,72.18
Flaubert,fr,realisme,4,1404,83.44,86.95,78.5,89,74.54,82.4,74.54
Flaubert,fr,realisme,0,1454,82.92,82.03,80.54,84,84.59,84.4,80.54
Flaubert,fr,realisme,1,1426,80.39,74.61,86.08,87.33,70.39,84,70.39
Flaubert,fr,realisme,2,1496,79.77,77.4,80.44,84,73.55,82.4,73.55
Flaubert,fr,realisme,3,1442,81.03,78.1,80.16,88.33,75.85,83.2,75.85
Flaubert,fr,realisme,4,1440,78.12,71.57,78.67,84.67,63.26,88.4,63.26
Flaubert,fr,epique,0,1427,74.67,56.34,88.74,84.2,49.6,93.6,49.6
Flaubert,fr,epique,1,1460,74.72,59.57,88.75,80.67,40.76,95.2,40.76
Flaubert,fr,epique,2,1513,81.03,76.15,88.46,85.13,41.94,95.6,41.94
Flaubert,fr,epique,3,1413,76.86,66.87,85.48,80,51.66,92.4,51.66
Flaubert,fr,epique,4,1405,74.42,57.85,85.3,83.67,44.78,95.2,44.78
Hugo,fr,social,0,1405,80.21,70.03,79.62,92.33,64.16,93.2,64.16
Hugo,fr,social,1,1543,76.48,71.07,82.73,70,56.57,91.2,56.57
Hugo,fr,social,2,1407,74.29,60.03,85.49,86.33,73.51,78.6,60.03
Hugo,fr,social,3,1451,82.21,81.83,84.16,88,51.99,90,51.99
Hugo,fr,social,4,1415,84.2,82.08,84.64,85.67,73.77,90,73.77
Hugo,fr,epique,0,1456,61.75,38.4,70.19,82.67,45.5,80.8,38.4
Hugo,fr,epique,1,1694,76.54,65.1,84.03,84.67,45.71,94,45.71
Hugo,fr,epique,2,1868,72.19,63.91,82.79,84.2,39.94,81.6,39.94
Hugo,fr,epique,3,1777,72.41,51.53,88.05,84.13,43.13,94,43.13
Hugo,fr,epique,4,1539,75.2,64.7,84.27,81.33,41.2,92.8,41.2
Maupassant,fr,realisme,0,1580,78.85,67,83.26,86.67,57.86,95.2,57.86
Maupassant,fr,realisme,1,1493,81.91,85.1,75.49,86.33,45.41,94,45.41
Maupassant,fr,realisme,2,1679,80.65,71.76,84.11,90,57.67,93.6,57.67
Maupassant,fr,realisme,3,1400,76.69,71.38,73.85,87.87,39.95,93.6,39.95
Maupassant,fr,realisme,4,1416,80.25,78.53,82.77,87.33,37.6,93.6,37.6
Maupassant,fr,realisme,0,1421,78.4,70.29,83.77,82,55.63,92.4,55.63
Maupassant,fr,realisme,1,1418,80.62,77.79,83.15,87,46.65,92.4,46.65
Maupassant,fr,realisme,2,1468,81.86,84.09,81.62,85.67,46.81,90.8,46.81
Maupassant,fr,realisme,3,1448,76.33,60.45,89.75,88.33,47.72,92.4,47.72
Maupassant,fr,realisme,4,1452,82.63,83.38,82.61,89.13,43.06,93.6,43.06
Proust,fr,psychologique,0,2066,90.51,90.62,81.95,86.67,96.7,96,81.95
Proust,fr,psychologique,1,1507,80.42,81.55,88.29,85.13,55.24,80.8,55.24
Proust,fr,psychologique,2,1513,84.98,91.78,87.16,91.67,50.28,84.4,50.28
