family,lang,book,pass,size,sha16,words,sem_base,sem_salad,sem_neutral,d_salad_per100,d_neutral_per100,net_per100
maitres,fr,flaubert_bovary_14155,0,150,6a4f9d6f9ffa32e9,150,7.5,63.6,10.3,215.67,9.58,206.09
maitres,fr,flaubert_bovary_14155,0,300,b9b98bb2b80e44f0,300,10.8,42.2,12,120.8,4.19,116.61
maitres,fr,flaubert_bovary_14155,0,600,f22c56d22b6175e4,600,11.6,28,12.8,31.52,1.98,29.55
maitres,fr,flaubert_bovary_14155,0,1200,43a594987f6bc63c,1200,13.7,30,14.5,15.66,0.85,14.81
maitres,fr,flaubert_bovary_14155,0,2400,179a365a4465d9e2,2400,15.4,29.7,16.1,7.85,0.36,7.5
maitres,fr,flaubert_bovary_14155,1,150,455a31182ec622a7,150,35.8,83.6,36.5,183.77,2.18,181.59
maitres,fr,flaubert_bovary_14155,1,300,0dbcc76b388f2ac8,300,30.8,63.5,31.6,125.79,2.71,123.09
maitres,fr,flaubert_bovary_14155,1,600,73fef11c9e4614d5,600,29.2,45.5,30.1,31.38,1.61,29.77
maitres,fr,flaubert_bovary_14155,1,1200,69404129d25df540,1200,27.9,44.3,28.7,15.8,0.92,14.88
maitres,fr,flaubert_bovary_14155,1,2400,3e367981c067b3d6,2400,28.7,43.2,29.6,7.94,0.42,7.52
maitres,fr,flaubert_bovary_14155,-1,-1,782c21b85524d7d7,4000,31.1,45.8,31.8,4.7,0.2,4.5
maitres,fr,hugo_miserables_17489,0,150,bcb5bb9d756e1da8,150,38.9,80.9,39.1,161.52,0.44,161.09
maitres,fr,hugo_miserables_17489,0,300,1878575e255a0761,300,25.8,60.3,26.5,132.94,2.71,130.24
maitres,fr,hugo_miserables_17489,0,600,f1b388ca7d264f3f,600,31.6,47.5,32.3,30.72,1.23,29.49
maitres,fr,hugo_miserables_17489,0,1200,770010dc8246dd17,1200,29.5,45.8,30.2,15.6,0.79,14.81
maitres,fr,hugo_miserables_17489,0,2400,587bdd0f2ebffbd9,2400,31.6,45.9,32.3,7.81,0.31,7.5
maitres,fr,hugo_miserables_17489,1,150,9e7acab16a4a36b0,150,14.2,59.4,15.9,174.1,5.91,168.19
maitres,fr,hugo_miserables_17489,1,300,c3ece71e2a2dc19b,300,23.3,51.6,26.2,108.88,9.81,99.07
maitres,fr,hugo_miserables_17489,1,600,f131dde227d65707,600,21.7,37.8,22.4,31.04,1.23,29.81
maitres,fr,hugo_miserables_17489,1,1200,26eaaf9ee5f9d417,1200,22.1,38.2,22.6,15.49,0.6,14.89
maitres,fr,hugo_miserables_17489,1,2400,0bb7a1329024ff66,2400,21.3,35.5,21.9,7.85,0.33,7.53
maitres,fr,hugo_miserables_17489,-1,-1,b0b11275ece05bc8,4000,12.6,27.5,13.5,4.78,0.28,4.5
maitres,fr,proust_swann_2650,0,150,fac375b39e3e98d9,150,20,82.3,18.7,239.51,-4.58,244.09
