corpus,lang,words,kw_sensory,kw_corporeal,sem_focalisation,sem_LLM,kw_sensory_stuffed,sem_stuffed,d_kw_stuff,d_sem_stuff
maitres,fr,1424,100,33.3,47.6,72,100,51.2,0,3.6
maitres,fr,1425,80,66.7,17.6,15,100,21.2,20,3.6
maitres,fr,1470,40,66.7,19.6,25,100,20.7,60,1.1
maitres,fr,1871,100,33.3,12.3,15,100,15.1,0,2.8
maitres,fr,1507,60,33.3,7.6,10,100,11.2,40,3.5
maitres,fr,1626,80,33.3,11.8,15,100,15.1,20,3.3
maitres,fr,1471,20,16.7,16.8,25,100,20.4,80,3.5
maitres,fr,1410,0,16.7,13.5,20,100,17.2,100,3.7
maitres,fr,1411,40,16.7,10,15,100,13.7,60,3.8
maitres,fr,1403,0,16.7,34.9,45,100,38.5,100,3.6
maitres,en,1406,20,16.7,10.7,15,100,14.4,80,3.7
maitres,en,1450,20,16.7,11.6,15,100,15.2,80,3.6
maitres,en,1460,40,16.7,7.8,15,100,11.5,60,3.7
maitres,en,1541,60,16.7,21.1,35,100,24.5,40,3.4
maitres,en,1424,40,16.7,10.6,10,100,14.3,60,3.7
maitres,en,1440,20,16.7,40.5,72,100,44.2,80,3.7
maitres,en,1503,20,50,16.4,25,100,19.9,80,3.5
maitres,en,1411,60,16.7,12.4,15,100,16,40,3.7
alternance,fr,450,80,100,62.3,78,100,74.6,20,12.3
alternance,fr,406,80,100,79.3,92,100,91,20,11.7
alternance,fr,476,80,66.7,56.8,82,100,66.9,20,10.1
alternance,fr,369,80,100,70.4,92,100,83.7,20,13.3
alternance,fr,458,100,100,66.4,87,100,79.1,0,12.6
alternance,fr,424,100,100,68.4,92,100,80.3,0,11.9
alternance,fr,402,80,100,75.1,88,100,88.1,20,13
alternance,fr,346,100,100,73.5,92,100,87.4,0,13.9
alternance,fr,335,60,66.7,57.4,82,100,76.5,40,19.1
