family,lang,book,sha16,words,stuff_words,kw_sensory,kw_corporeal,sem_focalisation,sem_LLM,kw_sensory_stuffed,sem_stuffed,d_kw_stuff,d_sem_stuff,d_kw_per100,d_sem_per100
maitres,fr,flaubert_bovary_14155,b27c95c0c7ffe8c8,600,52,40,33.3,50.1,72,100,65.9,60,15.7,115.38,30.23
maitres,fr,flaubert_bovary_14155,11baaacfb99501cb,600,52,60,50,13.3,15,100,29.7,40,16.4,76.92,31.5
maitres,fr,hugo_miserables_17489,3d4e14a84d5d650f,600,52,20,66.7,24.2,25,100,37.6,80,13.4,153.85,25.85
maitres,fr,hugo_miserables_17489,b4c3d820aed68a32,600,52,40,16.7,10.8,15,100,27.4,60,16.6,115.38,31.89
maitres,fr,proust_swann_2650,06de657589aa4233,600,52,40,16.7,5.8,10,100,22.5,60,16.7,115.38,32.12
maitres,fr,proust_swann_2650,d247124a105b08d1,600,52,40,16.7,10,15,100,26.7,60,16.7,115.38,32.06
maitres,en,dickens_two_cities_98,1ee30e63588dafac,600,54,20,16.7,10.8,15,20,28.5,0,17.8,0,32.88
maitres,en,dickens_two_cities_98,f41545c1f22bd1eb,600,54,20,16.7,12.3,15,40,29.8,20,17.4,37.04,32.3
maitres,en,austen_pride_1342,2d51dc1002dba1b5,600,54,0,16.7,7.5,15,20,25.8,20,18.3,37.04,33.88
maitres,en,austen_pride_1342,5e41b68441aff4e5,600,54,20,16.7,17.5,25,40,35.4,20,17.9,37.04,33.16
maitres,en,melville_moby_2701,f13d6e07f3b828e5,600,54,0,16.7,9.2,10,20,27.2,20,18,37.04,33.34
maitres,en,melville_moby_2701,7dbb7cc797abb677,600,54,0,16.7,37.5,65,20,55.4,20,17.9,37.04,33.21
bestsellers,fr,projet_derniere_chance_french_edition_andy_weir,ac5316b023792726,600,52,40,33.3,18.4,25,100,34.9,60,16.5,115.38,31.79
bestsellers,fr,projet_derniere_chance_french_edition_andy_weir,076b39da61e957eb,600,52,40,50,12.6,15,100,29.2,60,16.6,115.38,31.96
bestsellers,fr,le_crime_du_paradis_french_edition_guillaume_musso,775bac761e25389c,600,52,80,50,46.1,72,100,62.2,20,16.2,38.46,31.09
bestsellers,fr,le_crime_du_paradis_french_edition_guillaume_musso,003e8f577967e486,600,52,20,33.3,21.7,35,100,33.4,80,11.7,153.85,22.48
bestsellers,fr,mille_petits_riens_french_edition_jodi_picoult,132931ace5518691,600,52,60,83.3,25.1,35,100,41.5,40,16.4,76.92,31.53
bestsellers,fr,mille_petits_riens_french_edition_jodi_picoult,74856bf4f9408af3,600,52,60,66.7,36,45,100,51.9,40,15.9,76.92,30.66
bestsellers,en,andy_weir_the_martian,f664ac2f616922d7,600,54,20,16.7,20.5,20,40,37.5,20,17,37.04,31.5
bestsellers,en,andy_weir_the_martian,601f1ef30b99438e,600,54,0,16.7,15.8,25,20,33.7,20,17.9,37.04,33.12
bestsellers,en,colleen_hoover_it_ends_with_us,2ca3a71502bcf02d,600,54,0,16.7,22.5,35,20,45.4,20,22.9,37.04,42.47
bestsellers,en,colleen_hoover_it_ends_with_us,6697bc88e9d37325,600,54,0,16.7,16.7,25,20,37.1,20,20.5,37.04,37.92
bestsellers,en,dan_brown_origin,160dd94b14c55e77,600,54,20,16.7,20.8,35,40,38.9,20,18.1,37.04,33.47
bestsellers,en,dan_brown_origin,78f7d9edfda319ff,600,54,0,16.7,9.9,15,20,27.6,20,17.7,37.04,32.76
badprose,fr,cinquante_nuances_de_grey_french_edition_el_james,2b3b3aa38d2c2abe,600,52,60,83.3,23.4,25,100,39.5,40,16.1,76.92,30.96
badprose,fr,cinquante_nuances_de_grey_french_edition_el_james,531e28c1206426c1,600,52,80,50,31.1,25,100,46.8,20,15.6,38.46,30.05
badprose,fr,le_pacte_de_sang_french_edition_laura_s_wild,dd8835546097191f,600,52,60,33.3,9.2,10,100,25.7,40,16.6,76.92,31.85
badprose,fr,le_pacte_de_sang_french_edition_laura_s_wild,0d05813c5de974f4,600,52,60,50,37.6,45,100,53.3,40,15.7,76.92,30.27
badprose,fr,grossesse_mafia_french_edition_melanie_rain,c5658258b5e0113e,600,52,80,100,40.9,45,100,56.3,20,15.4,38.46,29.67
badprose,fr,grossesse_mafia_french_edition_melanie_rain,c589e69a3ac02f87,600,52,80,100,34.3,45,100,50.3,20,16.1,38.46,30.88
badprose,en,el_james_fifty_shades_of_grey,81b6d55e75cc51bd,600,54,0,16.7,15.8,25,20,33.7,20,17.9,37.04,33.12
badprose,en,el_james_fifty_shades_of_grey,3fe902f9a0782350,600,54,0,16.7,13.3,20,20,31.3,20,18,37.04,33.32
badprose,en,gently_yours_gently_series_book_1_sweetblunch,337aac9c65afb472,600,54,40,16.7,22.4,35,40,39.9,0,17.5,0,32.39
badprose,en,gently_yours_gently_series_book_1_sweetblunch,323e4f2829a61526,600,54,20,16.7,31.6,45,40,49.1,20,17.5,37.04,32.44
badprose,en,claimed_by_the_mountain_kings_alisson_bento,30cdf98241baafa7,600,54,60,16.7,70.9,92,60,87.1,0,16.2,0,30.04
badprose,en,claimed_by_the_mountain_kings_alisson_bento,af14e5c87a4d5105,600,54,0,16.7,64,88,20,80.7,20,16.7,37.04,30.92
