family,lang,book,words,ecc,rci,sii,aai,ifi_legacy,ifi_o2_pacing,attention,fatigue,focalisation,ifi_was_binding,min_axis_legacy,min_axis_o2,min_axis_delta,composite_legacy,composite_o2,verdict_legacy,verdict_o2
maitres,fr,flaubert_bovary_14155,600,55.7,71.6,83.3,96.4,54.2,100,100,100,23.3,true,54.2,55.7,1.6,72.6,77.2,REJECT,REJECT
maitres,fr,hugo_miserables_17489,600,44.7,72.9,83.3,83.6,40.8,100,100,100,10,true,40.8,44.7,3.9,64.6,70.6,REJECT,REJECT
maitres,fr,proust_swann_2650,600,63.3,70.6,84.8,91.6,61.7,100,100,100,53.5,true,61.7,63.3,1.6,74.7,78.5,REJECT,REJECT
maitres,en,dickens_two_cities_98,600,56.8,67.5,86.9,92.4,38.1,100,100,100,15.7,true,38.1,56.8,18.8,70.2,76.4,REJECT,REJECT
maitres,en,austen_pride_1342,600,60.3,70.2,88.3,95.2,36.7,100,100,100,10,true,36.7,60.3,23.7,72.6,78.9,REJECT,REJECT
maitres,en,melville_moby_2701,600,57.6,70,86.3,91.6,33.3,100,100,100,16.7,true,33.3,57.6,24.2,70.1,76.7,REJECT,REJECT
badprose,fr,cinquante_nuances_de_grey_french_edition_el_james,600,64.5,70.7,85.7,86.4,57.1,100,100,100,18.4,true,57.1,64.5,7.4,73.5,77.8,REJECT,REJECT
badprose,fr,le_pacte_de_sang_french_edition_laura_s_wild,600,58.2,69.8,88.7,91.2,49.8,100,100,100,22.5,true,49.8,58.2,8.4,72.1,77.2,REJECT,REJECT
badprose,fr,grossesse_mafia_french_edition_melanie_rain,600,65.3,70.4,90.1,92,63.6,100,100,100,27.6,true,63.6,65.3,1.8,76.4,80,REJECT,REJECT
badprose,en,el_james_fifty_shades_of_grey,600,49,68.4,87.5,89.6,36.2,100,100,100,27.9,true,36.2,49,12.8,66.9,73.3,REJECT,REJECT
badprose,en,gently_yours_gently_series_book_1_sweetblunch,600,71.5,75.1,85.3,91.2,42.9,100,100,100,34.8,true,42.9,71.5,28.6,76.3,82,REJECT,REJECT
badprose,en,claimed_by_the_mountain_kings_alisson_bento,600,48.3,72.2,89.7,88,35.2,100,100,100,24.2,true,35.2,48.3,13.1,67.2,73.7,REJECT,REJECT
bestsellers,fr,projet_derniere_chance_french_edition_andy_weir,600,48.2,71.4,84.3,91.2,40.2,100,100,100,7.7,true,40.2,48.2,8,67.5,73.5,REJECT,REJECT
bestsellers,fr,le_crime_du_paradis_french_edition_guillaume_musso,600,44.3,72.2,88.2,91.2,51.9,100,100,100,34.2,false,44.3,44.3,0,68.1,72.9,REJECT,REJECT
bestsellers,fr,mille_petits_riens_french_edition_jodi_picoult,600,55.5,68.5,84,91.2,62.1,100,100,100,18.4,false,55.5,55.5,0,71.6,75.4,REJECT,REJECT
bestsellers,en,andy_weir_the_martian,600,47.7,69.3,83,91.2,38.1,100,100,100,15.6,true,38.1,47.7,9.6,66.6,72.8,REJECT,REJECT
bestsellers,en,colleen_hoover_it_ends_with_us,600,65.4,69.3,84.7,94,38.7,100,100,100,38.3,true,38.7,65.4,26.6,73.4,79.6,REJECT,REJECT
bestsellers,en,dan_brown_origin,600,43.1,72.3,86.7,92.4,37.9,100,100,100,14.9,true,37.9,43.1,5.2,66.4,72.6,REJECT,REJECT
