family,lang,book,size,words,necessity,metaphor_novelty,anti_cliche,show_dont_tell,authenticity,rhythm,euphony,sii,aai,rci
maitres,fr,flaubert_bovary_14155,600,600,94,75.2,100,100,88,75.8092562848491,90.36470588235294,89.7,95.2,73.1
maitres,fr,flaubert_bovary_14155,1500,1500,94,79,100,100,84,72.00552781295421,85.68791208791208,91,93.6,71
maitres,fr,flaubert_bovary_14155,3000,3000,94,76,100,100,52,57.731590399120705,57.940298507462686,90,80.8,60.6
maitres,fr,flaubert_bovary_14155,-1,6000,82,77.6,100,75,47,63.002421366189374,70.05106382978724,86.5,63.8,64.8
maitres,fr,hugo_miserables_17489,600,600,72,78,100,100,83,80.07656432093935,92.57499999999999,83.3,93.2,74.9
maitres,fr,hugo_miserables_17489,1500,1500,72,76.4,100,100,87,71.31310329638941,88.5125,82.8,94.8,71.3
maitres,fr,hugo_miserables_17489,3000,3000,72,72,100,100,86,73.94504787004563,85.02762430939227,81.3,94.4,71.7
maitres,fr,hugo_miserables_17489,-1,6000,78,74,100,100,81,58.534623844289925,54.22566371681416,84,92.4,60.2
maitres,fr,proust_swann_2650,600,600,82,67,100,100,87,77.40436742280684,86.53333333333333,83,94.8,72.9
maitres,fr,proust_swann_2650,1500,1500,82,72,100,100,84,72.92002342371842,80.93061224489796,84.7,93.6,70.5
maitres,fr,proust_swann_2650,3000,3000,82,76,100,100,88,77.63157532622908,75.3972602739726,86,95.2,71.2
maitres,fr,proust_swann_2650,-1,6000,82,80,100,100,81,60.76148126358706,79.50769230769231,87.3,92.4,65.7
maitres,fr,zola_bete_10007,600,600,94,71,100,100,77,79.86055207918959,85.82499999999999,88.3,90.8,73.5
maitres,fr,zola_bete_10007,1500,1500,94,69,100,100,81,79.78741807271837,82.57391304347826,87.7,92.4,73.2
maitres,fr,zola_bete_10007,3000,3000,94,80,100,100,74,72.58545818706226,73.65384615384616,91.3,89.6,69
maitres,fr,zola_bete_10007,-1,6000,92,75,100,100,72,69.07133634040926,72.78518518518518,89,88.8,67.6
maitres,fr,maupassant_bel_ami_3088,600,600,82,74,100,100,70,78.05922958662704,85.34117647058824,85.3,88,72.8
maitres,fr,maupassant_bel_ami_3088,1500,1500,82,26.76,100,100,77,82.84053901328231,75.6,69.6,90.8,73
maitres,fr,maupassant_bel_ami_3088,3000,3000,82,77,100,100,81,67.84904170303247,51.88860759493671,86.3,92.4,63.3
maitres,fr,maupassant_bel_ami_3088,-1,6000,68,74,100,100,81,64.74338828505904,71.95,80.7,92.4,65.8
maitres,fr,stendhal_chartreuse_7524,600,600,42,68,100,100,66,77.95175209333983,85.04615384615383,70,86.4,72.8
maitres,fr,stendhal_chartreuse_7524,1500,1500,42,65,100,100,81,71.22406144640024,87.18048780487804,69,92.4,71
maitres,fr,stendhal_chartreuse_7524,3000,3000,42,70,100,100,81,62.41562448174781,87.56551724137931,70.7,92.4,67.9
maitres,fr,stendhal_chartreuse_7524,-1,6000,82,68,100,100,81,69.27305415519726,67.69865470852018,83.3,92.4,66.7
maitres,fr,flaubert_education_14285,600,600,82,71,100,100,58,71.83367486482211,60.52,84.3,83.2,65.9
maitres,fr,flaubert_education_14285,1500,1500,82,72,100,100,56,59.88388452238623,48.99718309859155,84.7,82.4,59.8
maitres,fr,flaubert_education_14285,3000,3000,82,75,100,100,54,60.921849266110925,50.332867132867136,85.7,81.6,60.4
maitres,fr,flaubert_education_14285,-1,6000,78,78,100,100,52,64.96030940663908,47.747142857142855,85.3,80.8,61.4
maitres,fr,maupassant_une_vie_6902,600,600,82,68,100,100,85,82.0581894135344,61.09508196721311,83.3,94,69.3
maitres,fr,maupassant_une_vie_6902,1500,1500,82,69,100,100,81,75.23727821674706,54.76744186046511,83.7,92.4,66.4
maitres,fr,maupassant_une_vie_6902,3000,3000,82,70,100,100,84,63.26046015352761,52.38461538461538,84,93.6,61.6
maitres,fr,maupassant_une_vie_6902,-1,6000,87,72.4,100,100,84,48.42294129599692,65.53802816901408,86.5,93.6,58.6
