family,lang,book,size,words,necessity,metaphor_novelty,anti_cliche,show_dont_tell,authenticity,rhythm,euphony,sii,aai,rci
maitres,fr,flaubert_bovary_14155,600,600,94,75.2,100,100,88,75.8092562848491,90.36470588235294,89.7,95.2,73.1
maitres,fr,flaubert_bovary_14155,1500,1500,94,79,100,100,84,72.00552781295421,85.68791208791208,91,93.6,71
maitres,fr,flaubert_bovary_14155,3000,3000,94,76,100,100,52,57.731590399120705,57.940298507462686,90,80.8,60.6
maitres,fr,flaubert_bovary_14155,-1,6000,82,77.6,100,75,47,63.002421366189374,70.05106382978724,86.5,63.8,64.8
maitres,fr,hugo_miserables_17489,600,600,72,78,100,100,83,80.07656432093935,92.57499999999999,83.3,93.2,74.9
maitres,fr,hugo_miserables_17489,1500,1500,72,76.4,100,100,87,71.31310329638941,88.5125,82.8,94.8,71.3
maitres,fr,hugo_miserables_17489,3000,3000,72,72,100,100,86,73.94504787004563,85.02762430939227,81.3,94.4,71.7
maitres,fr,hugo_miserables_17489,-1,6000,78,74,100,100,81,58.534623844289925,54.22566371681416,84,92.4,60.2
maitres,fr,proust_swann_2650,600,600,82,67,100,100,87,77.40436742280684,86.53333333333333,83,94.8,72.9
maitres,fr,proust_swann_2650,1500,1500,82,72,100,100,84,72.92002342371842,80.93061224489796,84.7,93.6,70.5
maitres,fr,proust_swann_2650,3000,3000,82,76,100,100,88,77.63157532622908,75.3972602739726,86,95.2,71.2
maitres,fr,proust_swann_2650,-1,6000,82,80,100,100,81,60.76148126358706,79.50769230769231,87.3,92.4,65.7
maitres,en,dickens_two_cities_98,600,600,92,72,100,100,85,74.45901447344819,84.0875,88,94,71.4
maitres,en,dickens_two_cities_98,1500,1500,92,60,100,100,81,71.8152458986163,83.06315789473685,84,92.4,70.5
maitres,en,dickens_two_cities_98,3000,3000,92,72.6,100,100,81,58.79626554306837,68.61176470588235,88.2,92.4,63
maitres,en,dickens_two_cities_98,-1,6000,92,70,100,100,81,56.680457193951796,77.29962825278811,87.3,92.4,63.8
maitres,en,austen_pride_1342,600,600,94,70.4,100,100,85,82.15402773081618,86.76129032258063,88.1,94,74.4
maitres,en,austen_pride_1342,1500,1500,94,66,100,100,87,72.12380963987562,85.05454545454546,86.7,94.8,71
maitres,en,austen_pride_1342,3000,3000,94,68,100,100,82,75.99171571378756,83.91428571428571,87.3,92.8,72.2
maitres,en,austen_pride_1342,-1,6000,92,72,100,100,53,59.915901742616214,63.60434782608695,88,81.2,62.5
maitres,en,melville_moby_2701,600,600,78,70.4,100,100,78,84.11753620703097,71.2,82.8,91.2,72
maitres,en,melville_moby_2701,1500,1500,78,77,100,100,85,84.3629110787032,70,85,94,72.5
maitres,en,melville_moby_2701,3000,3000,78,78.4,100,100,81,74.41630595126722,73.7237113402062,85.5,92.4,69.7
maitres,en,melville_moby_2701,-1,6000,88,72,100,100,78,70.98789788229182,53.834999999999994,86.7,91.2,64.8
bestsellers,fr,projet_derniere_chance_french_edition_andy_weir,600,600,82,71,100,100,77,85.70788209045386,92.96000000000001,84.3,90.8,76.8
bestsellers,fr,projet_derniere_chance_french_edition_andy_weir,1500,1500,82,72,100,100,71,64.74454264071369,55.286842105263155,84.7,88.4,62.7
bestsellers,fr,projet_derniere_chance_french_edition_andy_weir,3000,3000,82,72,100,100,75,64.06949459239223,55.75841584158415,84.7,90,62.6
bestsellers,fr,projet_derniere_chance_french_edition_andy_weir,-1,6000,92,70,100,100,84,62.27975719505557,56.56822429906542,87.3,93.6,62.1
bestsellers,fr,le_crime_du_paradis_french_edition_guillaume_musso,600,600,92,68,100,100,82,80.49574334394345,78.56170212765957,86.7,92.8,72.3
bestsellers,fr,le_crime_du_paradis_french_edition_guillaume_musso,1500,1500,92,72,100,100,86,76.4483207851755,69.37297297297297,88,94.4,69.6
bestsellers,fr,le_crime_du_paradis_french_edition_guillaume_musso,3000,3000,92,76.4,100,100,84,72.10870954423254,54.805263157894736,89.5,93.6,65.4
