package,files_src,files_test,files_json,files_md,bytes_src,loc_total,loc_code,loc_comment,loc_blank,chars_total,maxLineLen,functions,classes,interfaces,typeAliases,enums,exports,imports,fnLoc_mean,fnLoc_p95,fnLoc_max,cyclo_mean,cyclo_p95,cyclo_max,nesting_max,asAny,asUnknown,anyKeyword,nonNull,tsIgnore,tsExpectError,eslintDisable,fanIn,fanOut,instability,dupLines,testToCodeRatio,git_commits,git_avgAgeDays,git_filesStale90d
sovereign-engine,444,241,1029,140,5094318,151716,107748,24153,19815,6179105,3254,9957,57,674,116,0,1488,2669,13.1,58,822,1.95,6,106,7,126,75,391,353,0,6,3,0,5,1,72606,0.383,2863,72,834
gateway,147,98,42,14,1506380,76856,51882,13473,11501,2405228,549,6057,84,350,163,14,1478,530,16.86,57,517,1.52,4,41,5,89,11,100,310,0,1,1,0,0,0,13452,1.005,440,122,256
src(monolith),163,11,19,3,1337482,44003,27079,11059,5865,1264186,180,1941,32,324,136,2,1546,537,14.16,48,651,2.4,8,127,5,14,6,15,40,0,0,0,0,0,0,4146,0.107,246,122,192
scribe-engine,48,35,3,0,256644,11508,9004,880,1624,396924,325,776,2,61,9,0,210,264,16.01,74,256,1.99,7,33,5,5,1,8,2,0,0,0,4,2,0.333,3102,0.587,116,94,70
integration-nexus-dep,30,15,3,6,219650,13290,8988,2165,2137,415848,142,1161,19,87,21,0,244,86,13.45,52,190,1.32,3,20,5,1,1,5,23,0,0,1,0,0,0,1554,1.437,102,107,40
search,12,12,3,0,153271,10417,7551,1314,1552,306415,256,1060,13,50,10,0,103,47,14.74,43,478,1.59,5,24,4,1,1,1,27,0,0,0,0,1,1,1038,0.959,58,115,23
omega-governance,72,34,13,4,174149,8646,6759,683,1204,311031,225,729,0,64,10,0,277,422,12.35,50,148,1.7,6,21,3,0,1,0,21,0,0,0,0,0,0,528,0.764,129,110,122
decision-engine,32,23,2,2,86096,9586,6737,1419,1430,280274,160,1077,7,33,7,0,138,116,16.71,53,452,1.25,3,13,3,0,5,0,21,0,0,0,0,0,0,2916,2.876,63,115,58
omega-forge,33,32,6,4,140677,8303,6686,655,962,295580,280,586,0,33,9,0,177,205,15.77,62,231,1.59,5,18,6,6,6,6,2,0,0,0,2,5,0.714,1026,1.131,84,109,74
omega-p0,13,13,4,3,193437,8936,5732,1987,1217,318358,267,721,0,30,4,0,69,52,16.59,49,410,1.59,4,29,5,0,0,1,17,0,0,0,1,0,0,504,1.113,34,94,32
emotion-gate,26,11,3,1,114820,7339,5247,891,1201,232500,133,592,11,31,9,0,153,108,16.5,51,343,1.47,4,18,5,27,0,30,3,0,0,0,0,1,1,1152,1.081,52,99,32
creation-pipeline,32,31,7,2,109860,6140,4977,370,793,225802,325,500,0,28,7,0,133,209,13.94,76,159,1.54,2,56,4,2,0,2,6,0,0,0,2,4,0.667,702,0.89,73,110,71
truth-gate,26,10,3,0,93290,6200,4457,834,909,195121,179,529,15,18,9,0,98,103,16.12,52,331,1.57,5,21,5,15,0,16,0,0,0,0,0,1,1,1764,1.176,56,80,24
genesis-planner,29,23,3,0,105896,5125,4180,235,710,192304,325,366,0,27,9,0,121,172,15.46,56,249,1.98,5,58,5,0,4,0,0,0,1,0,6,1,0.143,2244,0.861,62,110,54
