source,target,importSites,importedSymbols,payloadBytes_DEFERRED,latency_p50_ns_DEFERRED,latency_p95_ns_DEFERRED,callsPerSec_DEFERRED
sovereign-engine,canon-kernel,59,59,,,,
sovereign-engine,omega-forge,31,31,,,,
truth-gate,canon-kernel,26,26,,,,
scribe-engine,genesis-planner,24,24,,,,
creation-pipeline,canon-kernel,19,19,,,,
scribe-engine,canon-kernel,19,19,,,,
sovereign-engine,genesis-planner,14,14,,,,
genesis-planner,canon-kernel,13,13,,,,
headless-runner,orchestrator-core,13,13,,,,
omega-runner,creation-pipeline,12,12,,,,
style-emergence-engine,scribe-engine,11,11,,,,
omega-forge,canon-kernel,10,10,,,,
phase-q,canon-kernel,10,10,,,,
style-emergence-engine,genesis-planner,9,9,,,,
omega-runner,omega-forge,7,7,,,,
creation-pipeline,genesis-planner,6,6,,,,
creation-pipeline,scribe-engine,5,5,,,,
creation-pipeline,style-emergence-engine,5,5,,,,
style-emergence-engine,canon-kernel,5,5,,,,
emotion-gate,canon-kernel,4,4,,,,
omega-runner,canon-kernel,4,4,,,,
proof-pack,orchestrator-core,3,3,,,,
gold-cli,gold-internal,2,2,,,,
gold-internal,orchestrator-core,2,2,,,,
gold-internal,proof-pack,2,2,,,,
omega-forge,creation-pipeline,2,2,,,,
omega-runner,genesis-planner,2,2,,,,
omega-runner,scribe-engine,2,2,,,,
omega-runner,style-emergence-engine,2,2,,,,
sovereign-engine,signal-registry,2,2,,,,
genome,mycelium,1,1,,,,
gold-cli,proof-pack,1,1,,,,
gold-internal,performance,1,1,,,,
gold-internal,hardening,1,1,,,,
gold-internal,contracts-canon,1,1,,,,
gold-master,orchestrator-core,1,1,,,,
gold-master,gold-internal,1,1,,,,
gold-master,gold-suite,1,1,,,,
gold-suite,orchestrator-core,1,1,,,,
gold-suite,gold-internal,1,1,,,,
hardening,orchestrator-core,1,1,,,,
omega-forge,genesis-planner,1,1,,,,
omega-forge,scribe-engine,1,1,,,,
omega-forge,style-emergence-engine,1,1,,,,
omega-metrics,canon-kernel,1,1,,,,
search,omega-observability,1,1,,,,
signal-registry,canon-kernel,1,1,,,,
sovereign-engine,omega-p0,1,1,,,,
