source,scene,model,words,composite,ecc,rci,sii,ifi,aai,min_axis,min_axis_name,partial
m0b/sovereign,Le Gardien sc1,qwen3:32b,1808,82.52545709026043,68.82935559273271,81.74850240220852,90.13333333333333,93.94524336283186,92,68.82935559273271,ecc,false
m0b/scribe,Le Gardien sc1,qwen3:32b,746,78.68704381396765,59.87067942911979,79.79735706796367,89.46666666666665,89.4416890080429,92,59.87067942911979,ecc,false
m0b/sovereign,Le Gardien sc1,qwen3:32b,2082,80.69784617575036,64.51224299263606,76.1844495321006,91.53333333333335,97.27449567723343,92,64.51224299263606,ecc,false
m0b/scribe,Le Gardien sc1,qwen3:32b,783,77.83139334889334,57.28448084568362,79.0028283860513,91.2,92.17033844189017,90.4,57.28448084568362,ecc,false
m0b/sovereign,Le Gardien sc1,qwen3:32b,2137,84.46505894096947,71.02641916147755,87.6255330451875,92.2,100,89.2,71.02641916147755,ecc,false
m0b/scribe,Le Gardien sc1,qwen3:32b,822,74.62580295416862,57.74086506328958,72.83042057577408,92.33333333333333,66.4014598540146,90.8,57.74086506328958,ecc,false
m0b/sovereign,Le Gardien sc1,qwen3:32b,1808,80.95844596276301,68.76451842147483,74.20896678060502,91.2,92.70630530973452,90.8,68.76451842147483,ecc,false
m0b/scribe,Le Gardien sc1,qwen3:32b,1194,81.92073617805416,67.69289763003701,76.6592938831879,90.33333333333333,100,92,67.69289763003701,ecc,false
m0b/sovereign,Le Gardien sc1,qwen3:32b,2138,81.4034125714114,65.67644341564211,77.53050731911466,90.33333333333333,100,92,65.67644341564211,ecc,false
m0b/scribe,Le Gardien sc1,qwen3:32b,594,81.6185820477823,65.3472545733892,84.97889577051829,89.66666666666667,96.57575757575758,90,65.3472545733892,ecc,false
BOOK_V3,La Clef,qwen3:32b,2073,90.07775111702293,93.40777061386945,78.95992243791771,88.2,100,90.4,78.95992243791771,rci,false
BOOK_V3,Les Confitures,qwen3:32b,2279,89.38693204522804,89.51070588786996,83.99058295429975,87.13333333333333,100,90,83.99058295429975,rci,false
BOOK_V3,Le Frère,qwen3:32b,1985,87.23967267299605,81.2126262895468,77.70297645556232,92.2,100,93.6,77.70297645556232,rci,false
BOOK_V3,Les Lettres,qwen3:32b,1878,88.24776032341406,86.74373508333703,86.42545732889903,82.86666666666666,100,90,82.86666666666666,sii,false
BOOK_V3,La Photo,qwen3:32b,2073,90.84838323615726,90.98843046023366,81.60118343694205,93,100,92,81.60118343694205,rci,false
BOOK_V3,Le Piano,qwen3:32b,1947,91.58802287879533,91.10732713212406,86.78002897173167,92.46666666666665,100,91.6,86.78002897173167,rci,false
BOOK_V3,L'Aveu,qwen3:32b,2018,88.34534394271047,87.50208851508327,80.49862585449415,91.13333333333333,94.14888337468983,90.8,80.49862585449415,rci,false
BOOK_V3,La Recherche,qwen3:32b,2074,89.79996466355024,89.55205220337866,78.92816139079578,92.2,100,92,78.92816139079578,rci,false
BOOK_V3,Le Pardon,qwen3:32b,2072,88.77532389555836,86.19653865354813,77.64980082286753,91.53333333333335,100,93.6,77.64980082286753,rci,false
BOOK_V3,L'Héritage,qwen3:32b,1936,85.93307042610874,79.45968141055046,79.47867976839458,90.66666666666667,100,90.4,79.45968141055046,ecc,false
BOOK_V3,La Clef,qwen3:32b,1969,89.6031798148522,88.07385519981536,86.22827999360659,87.86666666666667,100,90.8,86.22827999360659,rci,false
BOOK_V3,Les Confitures,qwen3:32b,2301,88.26778400871848,88.59411554278228,81.95132870353132,82.66666666666667,100,90.8,81.95132870353132,rci,false
BOOK_V3,Le Frère,qwen3:32b,1907,80.91525010714837,73.88810930703183,75.60632538738773,78,89.79098719971945,92,73.88810930703183,ecc,false
BOOK_V3,Les Lettres,qwen3:32b,1689,85.4905744776967,75.0351729176752,80.49948942086041,92.2,98.1405421331762,93.6,75.0351729176752,ecc,false
BOOK_V3,La Clef,qwen3:32b,1795,89.31041858575401,90.23403113473394,79.90110771348122,89.66666666666667,100,90,79.90110771348122,rci,false
BESTOF3,contemplation,qwen3:32b,500,90.32351589029663,92.62635751368995,81.848928886935,89.53333333333335,91.125,93.2,81.848928886935,rci,false
BESTOF3,contemplation,qwen3:32b,597,92.42203234856542,93.83082861236618,87.73425231226025,90.60000000000001,92.53036013400336,94.80000000000001,87.73425231226025,rci,false
BESTOF3,contemplation,qwen3:32b,455,90.13607135078625,91.72068182841282,84.76661824699283,88,85.57921245421245,94.80000000000001,84.76661824699283,rci,false
BESTOF3,contemplation,qwen3:32b,427,91.35435628153968,92.4812309323266,82.68304699742795,90.60000000000001,90.89432084309134,96.4,82.68304699742795,rci,false
BESTOF3,contemplation,qwen3:32b,547,90.89334229710944,92.87759520305322,84.14233816986476,88.13333333333333,90.19538391224863,94.80000000000001,84.14233816986476,rci,false
BESTOF3,contemplation,qwen3:32b,0,0,0,0,0,0,0,0,,true
BESTOF3,menace,qwen3:32b,463,89.61487472396207,91.64103572804149,81.70519182196642,87.33333333333333,86.83450323974083,94.80000000000001,81.70519182196642,rci,false
BESTOF3,menace,qwen3:32b,0,0,0,0,0,0,0,0,,true
BESTOF3,menace,qwen3:32b,433,87.13608296120654,85.86503540347555,78.63152443146049,86.53333333333335,90.53262124711317,93.6,78.63152443146049,rci,false
BESTOF3,menace,qwen3:32b,458,89.31873095859201,87.76600028228249,83.6537438526967,91.26666666666667,87.44814410480349,94.80000000000001,83.6537438526967,rci,false
BESTOF3,menace,qwen3:32b,519,90.85661682622938,93.01451584355517,84.94877597514855,91.2,86.40534682080926,93.6,84.94877597514855,rci,false
BESTOF3,menace,qwen3:32b,637,89.94344090928585,93.65669697881428,80.73400209897989,86.66666666666667,91.11950549450549,92.80000000000001,80.73400209897989,rci,false
BESTOF3,revelation,qwen3:32b,487,91.45803496267523,91.27730037961875,85.50897551412369,87.33333333333333,100,94.80000000000001,85.50897551412369,rci,false
BESTOF3,revelation,qwen3:32b,411,90.69430248791906,91.30848258112438,87.21613467950239,87.73333333333333,88.75760340632604,94.80000000000001,87.21613467950239,rci,false
BESTOF3,revelation,qwen3:32b,496,89.46658530448008,86.51114351099791,83.23389873270844,90.66666666666667,97.68145161290323,93.6,83.23389873270844,rci,false
BESTOF3,revelation,qwen3:32b,557,91.37034892560638,92.42133598146245,87.074412132328,90.60000000000001,90.78657989228007,93.6,87.074412132328,rci,false
BESTOF3,revelation,qwen3:32b,427,91.24859529992277,91.34477720183833,85.88114975782436,90.66666666666667,92.05023364485982,94.80000000000001,85.88114975782436,rci,false
BESTOF3,revelation,qwen3:32b,617,92.27226423907503,93.21803628391622,85.64889567872157,88.33333333333333,100,94.80000000000001,85.64889567872157,rci,false
BESTOF3,confrontation,qwen3:32b,401,86.57674079417865,78.8778477040688,83.90266938222396,89.73333333333333,91.23597256857855,94.80000000000001,78.8778477040688,ecc,false
BESTOF3,confrontation,qwen3:32b,355,90.49405394507203,89.85586040301759,85.53500587053949,90.06666666666666,90.90669014084507,94.80000000000001,85.53500587053949,rci,false
BESTOF3,confrontation,qwen3:32b,593,87.74065953920709,87.3589413818004,83.73174032028327,81.66666666666667,90.27813028764805,93.6,81.66666666666667,sii,false
BESTOF3,confrontation,qwen3:32b,647,89.32549510385374,85.20104590693329,87.4132423002459,86.66666666666667,99.48898763523957,93.6,85.20104590693329,ecc,false
BESTOF3,confrontation,qwen3:32b,483,85.93778662210174,87.79925322614527,87.89051841139747,83,82.72644927536231,85.2,82.72644927536231,ifi,false
BESTOF3,confrontation,qwen3:32b,512,89.1643419385661,89.23613394128859,84.16987456141685,84.86666666666666,89.775390625,94.80000000000001,84.16987456141685,rci,false
P311,contemplation,qwen3:32b,1965,91.75603375668629,93.68846269674917,83.87553568681805,90.53333333333335,100,92,83.87553568681805,rci,false
P311,menace,qwen3:32b,1557,90.42135917395822,91.51738746170453,80.48620039349635,91.13333333333333,98.67967244701349,92,80.48620039349635,rci,false
P311,revelation,qwen3:32b,1985,89.18161775480752,84.66960388821683,87.70969689232916,91.53333333333335,100,90.4,84.66960388821683,ecc,false
P311,confrontation,qwen3:32b,2099,86.64408737154776,81.31088294263454,80.00880000281393,90.73333333333333,100,90.4,80.00880000281393,rci,false
MINI_V5R6,rage_contenue,qwen3:32b,2718,85.29900525969732,81.76416164129475,79.55057854205947,0,0,0,79.55057854205947,rci,true
MINI_V5R6,tendresse,qwen3:32b,2718,87.11562646676717,86.53591425599011,79.46338095464962,0,0,0,79.46338095464962,rci,true
MINI_V5R6,absurde,qwen3:32b,2718,86.25490175290375,83.62297164870758,79.76071240488378,0,0,0,79.76071240488378,rci,true
MINI_V5R6,trahison_intime,qwen3:32b,2718,82.81045451872271,73.18690835282506,79.46338095464962,0,0,0,73.18690835282506,ecc,true
MINI_V5R6,abandon,qwen3:32b,2718,88.89467308012092,91.77544944797118,79.46338095464962,0,0,0,79.46338095464962,rci,true
MINI_V5R6,vertige_metaphysique,qwen3:32b,2718,84.61483765642436,78.5015652957397,79.76071240488378,0,0,0,78.5015652957397,ecc,true
MINI_V5R6,retour_foyer,qwen3:32b,2718,84.85528775632828,80.55057395205507,79.55057854205947,0,0,0,79.55057854205947,rci,true
MINI_V5R6,reconciliation,qwen3:32b,2340,89.54454225617388,91.01780118501647,79.63922273599091,0,0,0,79.63922273599091,rci,true
MINI_V5R6,deuil_lent,qwen3:32b,2347,91.50605351116707,94.00247786424659,86.91315185862166,0,0,0,86.91315185862166,rci,true
MINI_V5R6,epiphanie,qwen3:32b,2293,89.52499368391253,90.4289679066638,84.73409071956624,0,0,0,84.73409071956624,rci,true
MINI_V5R6,rage_contenue,qwen3:32b,2397,90.72780781703491,93.8817999167699,87.56949320294616,0,0,0,87.56949320294616,rci,true
MINI_V5R6,tendresse,qwen3:32b,2479,90.41686871147567,92.62339789626444,83.16409940358244,0,0,0,83.16409940358244,rci,true
MINI_V5R6,absurde,qwen3:32b,2266,87.87212644429648,81.42995156128387,86.4612714181996,0,0,0,81.42995156128387,ecc,true
MINI_V5R6,trahison_intime,qwen3:32b,2363,89.69390806306296,86.40861699658063,87.05332031877256,0,0,0,86.40861699658063,ecc,true
MINI_V5R6,abandon,qwen3:32b,2356,91.0877851792032,90.8693503395286,87.59352686563977,0,0,0,87.59352686563977,rci,true
MINI_V5R6,vertige_metaphysique,qwen3:32b,2325,90.8522040134022,88.93684287902867,88.31203449013373,0,0,0,88.31203449013373,rci,true
MINI_V5R6,retour_foyer,qwen3:32b,2317,90.40736438466728,90.12679677400742,82.44424381908725,0,0,0,82.44424381908725,rci,true
MINI_V5R6,reconciliation,qwen3:32b,2718,87.62870767685915,88.82386593572454,79.55057854205947,0,0,0,79.55057854205947,rci,true
MINI_V5R6,deuil_lent,qwen3:32b,2718,88.95656024552218,91.96133071724829,79.76071240488378,0,0,0,79.76071240488378,rci,true
MINI_V5R6,epiphanie,qwen3:32b,2718,86.42620745609769,85.15942152711389,79.55057854205947,0,0,0,79.55057854205947,rci,true
MINI_V5R6,rage_contenue,qwen3:32b,2718,85.43252705128612,81.13258269392634,79.46338095464962,0,0,0,79.46338095464962,rci,true
MINI_V5R6,tendresse,qwen3:32b,2718,87.42459386593856,87.16749320335853,79.76071240488378,0,0,0,79.76071240488378,rci,true
MINI_V5R6,absurde,qwen3:32b,2718,85.76075794359203,82.99139270133915,79.55057854205947,0,0,0,79.55057854205947,rci,true
MINI_V5R6,trahison_intime,qwen3:32b,2718,82.77992820293323,73.39743466861452,79.46338095464962,0,0,0,73.39743466861452,ecc,true
MINI_V5R6,abandon,qwen3:32b,2718,88.73625202748934,91.14387050060276,79.46338095464962,0,0,0,79.46338095464962,rci,true
MINI_V5R6,vertige_metaphysique,qwen3:32b,2718,84.86220607747697,79.55419687468707,79.76071240488378,0,0,0,79.55419687468707,ecc,true
MINI_V5R6,retour_foyer,qwen3:32b,2718,85.06370880895986,81.1821528994235,79.55057854205947,0,0,0,79.55057854205947,rci,true
MINI_V5R6,contemplation,qwen3:32b,2357,92.40792057727663,94.2213206858277,86.558145593844,0,0,0,86.558145593844,rci,true
MINI_V5R6,menace,qwen3:32b,2342,88.37740597838592,86.74372707988358,83.89397671779027,0,0,0,83.89397671779027,rci,true
MINI_V5R6,revelation,qwen3:32b,2455,87.33541668720027,83.56725833506819,85.43967780364447,0,0,0,83.56725833506819,ecc,true
MINI_V5R6,confrontation,qwen3:32b,2312,87.9183776246205,85.20969565400026,81.19198775990799,0,0,0,81.19198775990799,rci,true
MINI_V5R6,contemplation,qwen3:32b,2423,91.73829286688881,93.29603009627226,91.41531138305275,0,0,0,91.41531138305275,rci,true
MINI_V5R6,menace,qwen3:32b,2287,90.19087187060026,86.47560551252411,91.55248265569,0,0,0,86.47560551252411,ecc,true
MINI_V5R6,revelation,qwen3:32b,2327,88.54037004269195,86.82954110396268,82.11234213776646,0,0,0,82.11234213776646,rci,true
MINI_V5R6,confrontation,qwen3:32b,2322,89.80737893193164,91.9834843395871,81.19311235216402,0,0,0,81.19311235216402,rci,true
MINI_V5R6,contemplation,qwen3:32b,2349,87.84300361612017,91.16289689628793,85.35650391197949,0,0,0,85.35650391197949,rci,true
MINI_V5R6,menace,qwen3:32b,2170,87.81610905872436,86.14088617174062,82.29809745251904,0,0,0,82.29809745251904,rci,true
MINI_V5R6,revelation,qwen3:32b,2229,88.9099557682166,89.32870989115399,79.5969500243282,0,0,0,79.5969500243282,rci,true
MINI_V5R6,confrontation,qwen3:32b,2387,87.95872898522606,81.81835357257131,88.52197809742519,0,0,0,81.81835357257131,ecc,true
MINI_V5R6,contemplation,qwen3:32b,2349,90.24579906745174,91.77961066892372,88.36808652038427,0,0,0,88.36808652038427,rci,true
MINI_V5R6,menace,qwen3:32b,2352,89.35797362635029,85.10036713917665,88.44946631854347,0,0,0,85.10036713917665,ecc,true
MINI_V5R6,revelation,qwen3:32b,2376,87.7692675796415,89.95606337931261,78.1367144375547,0,0,0,78.1367144375547,rci,true
MINI_V5R6,confrontation,qwen3:32b,2394,82.89125167882756,71.08322939625816,79.61050575330809,0,0,0,71.08322939625816,ecc,true
MINI_V5R6,contemplation,qwen3:32b,2310,81.15943827192112,76.39520978499404,70.85156350658733,0,0,0,70.85156350658733,rci,true
MINI_V5R6,menace,qwen3:32b,2334,84.46103019876853,84.49225051815864,84.93286781044807,0,0,0,84.49225051815864,ecc,true
MINI_V5R6,revelation,qwen3:32b,2273,86.59537615185705,83.42821669205287,81.89774867681497,0,0,0,81.89774867681497,rci,true
MINI_V5R6,confrontation,qwen3:32b,2358,87.60998393751214,86.35021949374439,81.1838979389098,0,0,0,81.1838979389098,rci,true
MINI_V5R6,contemplation,qwen3:32b,2347,86.8483310232217,91.88682628548112,90.54444401246317,0,0,0,90.54444401246317,rci,true
MINI_V5R6,menace,qwen3:32b,2449,90.64174008264744,92.92688164322422,79.51088172861297,0,0,0,79.51088172861297,rci,true
MINI_V5R6,revelation,qwen3:32b,2462,87.1098087082599,87.80604108988564,79.34380174199187,0,0,0,79.34380174199187,rci,true
MINI_V5R6,confrontation,qwen3:32b,2403,83.23792801476581,89.33745467933169,75.94533309440317,0,0,0,75.94533309440317,rci,true
MINI_V5R6,contemplation,qwen3:32b,801,87.57468059895918,90.40684981112894,82.56006957619579,0,0,0,82.56006957619579,rci,true
MINI_V5R6,menace,qwen3:32b,2315,82.25096276208336,74.54338055595302,82.85770732690303,0,0,0,74.54338055595302,ecc,true
