author,lang,file,passage,words,RCI,rhythm,rhythm_w,signature,hook,euphony,voice,voice_w,RCI_ceiling,pass85,ceiling_pass85
Flaubert,fr,flaubert_bovary_14155.txt,0,1404,66.22,63.7,0.93,60,85,75.9,80.1,0,82.54,0,0
Flaubert,fr,flaubert_bovary_14155.txt,1,1586,67.2,61.1,0.95,60,85,86.2,77.2,0,83.41,0,0
Flaubert,fr,flaubert_bovary_14155.txt,2,1419,69.25,70.5,0.94,60,85,79.1,74.8,0,85.56,0,1
Flaubert,fr,flaubert_education_14285.txt,0,1408,65.14,76.1,0.93,60,85,46.9,66,0,81.46,0,0
Flaubert,fr,flaubert_education_14285.txt,1,1449,64.01,71.7,0.94,60,85,49.2,58.7,0,80.28,0,0
Flaubert,fr,flaubert_education_14285.txt,2,1449,63.47,71,0.94,60,85,47.6,65.8,0,79.75,0,0
Flaubert,fr,flaubert_salammbo_10884.txt,0,1429,71.65,73.6,0.94,60,85,85.9,76.4,0,87.95,0,1
Flaubert,fr,flaubert_salammbo_10884.txt,1,1408,67.46,69.6,0.93,60,85,71.4,74.3,0,83.78,0,0
Flaubert,fr,flaubert_salammbo_10884.txt,2,1455,67.47,65.7,0.94,60,85,78.7,74.8,0,83.74,0,0
Hugo,fr,hugo_miserables_17489.txt,0,1483,66.91,68.4,0.95,60,85,70.7,65.5,0,83.15,0,0
Hugo,fr,hugo_miserables_17489.txt,1,1439,65.49,69.1,0.94,60,85,62,70.9,0,81.78,0,0
Hugo,fr,hugo_miserables_17489.txt,2,1404,61.73,63.4,0.93,60,85,52.7,69.6,0,78.05,0,0
Hugo,fr,hugo_travailleurs_10907.txt,0,1402,71.99,83.1,0.93,60,85,70,75.1,0,88.31,0,1
Hugo,fr,hugo_travailleurs_10907.txt,1,1783,69.89,77,0.96,60,85,70,69.5,0,86.06,0,1
Hugo,fr,hugo_travailleurs_10907.txt,2,1756,68.37,72.8,0.96,60,85,70,56.8,0,84.54,0,0
Maupassant,fr,maupassant_une_vie_6902.txt,0,1536,64.9,57.6,0.95,60,85,80.5,74.4,0,81.12,0,0
Maupassant,fr,maupassant_une_vie_6902.txt,1,1668,69.81,68.9,0.96,60,85,85,73.5,0,86,0,1
Maupassant,fr,maupassant_une_vie_6902.txt,2,1427,69.86,67.6,0.94,60,85,87.7,74.6,0,86.16,0,1
Maupassant,fr,maupassant_bel_ami_3088.txt,0,1414,71.35,73.8,0.94,60,85,84.1,66.2,0,87.67,0,1
Maupassant,fr,maupassant_bel_ami_3088.txt,1,1416,65.46,65.2,0.94,60,85,69.1,69.6,0,81.78,0,0
Maupassant,fr,maupassant_bel_ami_3088.txt,2,1447,64.73,68.6,0.94,60,85,58.8,70.1,0,81.01,0,0
Proust,fr,proust_swann_2650.txt,0,1527,73.48,86,0.95,60,85,72,70.8,0,89.7,0,1
Proust,fr,proust_swann_2650.txt,1,1513,70.94,77.9,0.95,60,85,74,70.1,0,87.16,0,1
Proust,fr,proust_swann_2650.txt,2,1485,72.37,76.2,0.95,60,85,84.8,75.3,0,88.61,0,1
Proust,fr,proust_jeunes_filles_17180.txt,0,1547,70.17,78.2,0.95,60,85,69.3,72.1,0,86.39,0,1
Proust,fr,proust_jeunes_filles_17180.txt,1,1411,68.71,78.8,0.94,60,85,60.7,74.7,0,85.03,0,1
Proust,fr,proust_jeunes_filles_17180.txt,2,1472,73.14,77.3,0.95,60,85,86.8,73.8,0,89.4,0,1
Zola,fr,zola_bonheur_11953.txt,0,1731,72.09,82.7,0.96,60,85,70.8,67.4,0,88.27,0,1
Zola,fr,zola_bonheur_11953.txt,1,1503,72.44,84.2,0.95,60,85,70,69,0,88.66,0,1
Zola,fr,zola_bonheur_11953.txt,2,1401,69.79,78.6,0.93,60,85,66.8,72.1,0,86.12,0,1
Zola,fr,zola_bete_10007.txt,0,1416,69.94,72.9,0.94,60,85,78.3,72.8,0,86.25,0,1
Zola,fr,zola_bete_10007.txt,1,1421,74.29,84.8,0.94,60,85,78.9,64.7,0,90.6,0,1
Zola,fr,zola_bete_10007.txt,2,1407,70.01,73.1,0.93,60,85,78.2,67.2,0,86.33,0,1
Stendhal,fr,stendhal_chartreuse_7524.txt,0,1401,66.06,56.2,0.93,60,85,89,86.4,0,82.39,0,0
Stendhal,fr,stendhal_chartreuse_7524.txt,1,1438,66.34,62,0.94,60,85,79.7,89.1,0,82.63,0,0
Stendhal,fr,stendhal_chartreuse_7524.txt,2,1549,65.91,61.7,0.95,60,85,78,81.6,0,82.13,0,0
Balzac,fr,balzac_lys_1237.txt,0,1424,61.43,57,0.94,60,85,63.2,73.5,0,77.73,0,0
Balzac,fr,balzac_lys_1237.txt,1,1415,60.61,50.7,0.94,60,85,70.6,75.5,0,76.92,0,0
Balzac,fr,balzac_lys_1237.txt,2,1473,67.21,61.9,0.95,60,85,84.5,77.9,0,83.47,0,0
Balzac,fr,balzac_eugenie_1715.txt,0,1413,69.4,68,0.94,60,85,84.6,79.2,0,85.72,0,1
Balzac,fr,balzac_eugenie_1715.txt,1,1411,63.08,54,0.94,60,85,77.6,75.9,0,79.4,0,0
Balzac,fr,balzac_eugenie_1715.txt,2,1402,63.09,58.3,0.93,60,85,69.3,74,0,79.41,0,0
Dickens,en,dickens_two_cities_98.txt,0,1418,67,67.3,0.94,60,85,73.3,75.6,0,83.31,0,0
Dickens,en,dickens_two_cities_98.txt,1,1401,74.32,81.9,0.93,60,85,84.5,65.7,0,90.65,0,1
Dickens,en,dickens_two_cities_98.txt,2,1444,71.41,75.5,0.94,60,85,81.1,68.5,0,87.7,0,1
Dickens,en,dickens_copperfield_766.txt,0,1499,67.57,62.5,0.95,60,85,85.4,74.7,0,83.8,0,0
Dickens,en,dickens_copperfield_766.txt,1,1466,71.64,73.5,0.94,60,85,86,73.7,0,87.9,0,1
Dickens,en,dickens_copperfield_766.txt,2,1420,70.01,69.1,0.94,60,85,85.8,70.5,0,86.31,0,1
Bronte,en,bronte_e_wuthering_768.txt,0,1401,63.77,53.3,0.93,60,85,82.5,78.7,0,80.1,0,0
Bronte,en,bronte_e_wuthering_768.txt,1,1416,70.66,73.3,0.94,60,85,81.3,71.5,0,86.97,0,1
Bronte,en,bronte_e_wuthering_768.txt,2,1427,72.71,79.9,0.94,60,85,79.7,69.1,0,89.01,0,1
Austen,en,austen_pride_1342.txt,0,1491,65.15,56.7,0.95,60,85,83.6,67.9,0,81.38,0,0
Austen,en,austen_pride_1342.txt,1,1485,62.8,59.1,0.95,60,85,66.5,68.2,0,79.04,0,0
Austen,en,austen_pride_1342.txt,2,1558,71.13,71.6,0.95,60,85,86.9,67.8,0,87.35,0,1
Melville,en,melville_moby_2701.txt,0,1501,65.44,68.1,0.95,60,85,63.5,79.5,0,81.67,0,0
Melville,en,melville_moby_2701.txt,1,1486,59.77,41.4,0.95,60,85,84.1,76.5,0,76.01,0,0
Melville,en,melville_moby_2701.txt,2,1429,76.65,91.9,0.94,60,85,77.9,71.4,0,92.94,0,1
