author,lang,passage,words,RCI_probe,RCI_repr_mid,RCI_repr,RCI_ceiling,sig_repr,sig_mid,hook_mid,rhythm,euphony,pass85_repr,sig_words
Flaubert,fr,0,1404,66.22,82.54,82.54,82.54,100,100,100,63.7,75.9,0,emma|charles|madame|deux|bovary|autre
Flaubert,fr,1,1586,67.2,83.41,83.41,83.41,100,100,100,61.1,86.2,0,emma|charles|madame|deux|bovary|autre
Flaubert,fr,2,1419,69.25,85.56,85.56,85.56,100,100,100,70.5,79.1,1,emma|charles|madame|deux|bovary|autre
Flaubert,fr,0,1408,65.14,81.46,81.46,81.46,100,100,100,76.1,46.9,0,ainsi|akhaiens|point|troiens|fils|zeus
Flaubert,fr,1,1449,64.01,80.28,80.28,80.28,100,100,100,71.7,49.2,0,ainsi|akhaiens|point|troiens|fils|zeus
Flaubert,fr,2,1449,63.47,79.75,79.75,79.75,100,100,100,71,47.6,0,ainsi|akhaiens|point|troiens|fils|zeus
Flaubert,fr,0,1429,71.65,87.95,87.95,87.95,100,100,100,73.6,85.9,1,murray|will|lord|byron|john|scott
Flaubert,fr,1,1408,67.46,83.78,83.78,83.78,100,100,100,69.6,71.4,0,murray|will|lord|byron|john|scott
Flaubert,fr,2,1455,67.47,83.74,83.74,83.74,100,100,100,65.7,78.7,0,murray|will|lord|byron|john|scott
Hugo,fr,0,1483,66.91,83.15,83.15,83.15,100,100,100,68.4,70.7,0,homme|deux|monsieur|eveque|etre|fait
Hugo,fr,1,1439,65.49,81.78,81.78,81.78,100,100,100,69.1,62,0,homme|deux|monsieur|eveque|etre|fait
Hugo,fr,2,1404,61.73,78.05,78.05,78.05,100,100,100,63.4,52.7,0,homme|deux|monsieur|eveque|etre|fait
Hugo,fr,0,1402,71.99,88.31,88.31,88.31,100,100,100,83.1,70,1,enemy|having|romans|roman|city|camp
Hugo,fr,1,1783,69.89,86.06,86.06,86.06,100,100,100,77,70,1,enemy|having|romans|roman|city|camp
Hugo,fr,2,1756,68.37,84.54,84.54,84.54,100,100,100,72.8,70,0,enemy|having|romans|roman|city|camp
Maupassant,fr,0,1536,64.9,81.12,81.12,81.12,100,100,100,57.6,80.5,0,elena|insarov|shubin|bersenyev|will|know
Maupassant,fr,1,1668,69.81,86,86,86,100,100,100,68.9,85,1,elena|insarov|shubin|bersenyev|will|know
Maupassant,fr,2,1427,69.86,86.16,86.16,86.16,100,100,100,67.6,87.7,1,elena|insarov|shubin|bersenyev|will|know
Maupassant,fr,0,1414,71.35,87.67,87.67,87.67,100,100,100,73.8,84.1,1,little|down|went|time|without|eyes
Maupassant,fr,1,1416,65.46,81.78,81.78,81.78,100,100,100,65.2,69.1,0,little|down|went|time|without|eyes
Maupassant,fr,2,1447,64.73,81.01,81.01,81.01,100,100,100,68.6,58.8,0,little|down|went|time|without|eyes
Proust,fr,0,1527,73.48,89.7,89.7,89.7,100,100,100,86,72,1,swann|etre|odette|faire|peut|grand
Proust,fr,1,1513,70.94,87.16,87.16,87.16,100,100,100,77.9,74,1,swann|etre|odette|faire|peut|grand
Proust,fr,2,1485,72.37,88.61,88.61,88.61,100,100,100,76.2,84.8,1,swann|etre|odette|faire|peut|grand
Proust,fr,0,1547,70.17,86.39,86.39,86.39,100,100,100,78.2,69.3,1,cleek|merriton|borkins|nigel|little|wynne
Proust,fr,1,1411,68.71,85.03,85.03,85.03,100,100,100,78.8,60.7,1,cleek|merriton|borkins|nigel|little|wynne
Proust,fr,2,1472,73.14,89.4,89.4,89.4,100,100,100,77.3,86.8,1,cleek|merriton|borkins|nigel|little|wynne
Zola,fr,0,1731,72.09,88.27,88.27,88.27,100,100,100,82.7,70.8,1,king|duke|charles|louis|france|will
Zola,fr,1,1503,72.44,88.66,88.66,88.66,100,100,100,84.2,70,1,king|duke|charles|louis|france|will
Zola,fr,2,1401,69.79,86.12,86.12,86.12,100,100,100,78.6,66.8,1,king|duke|charles|louis|france|will
Zola,fr,0,1416,69.94,86.25,86.25,86.25,100,100,100,72.9,78.3,1,father|little|more|carmilla|room|time
Zola,fr,1,1421,74.29,90.6,90.6,90.6,100,100,100,84.8,78.9,1,father|little|more|carmilla|room|time
Zola,fr,2,1407,70.01,86.33,86.33,86.33,100,100,100,73.1,78.2,1,father|little|more|carmilla|room|time
Stendhal,fr,0,1401,66.06,82.39,82.39,82.39,100,100,100,56.2,89,0,more|part|people|other|tacitus|agricola
Stendhal,fr,1,1438,66.34,82.63,82.63,82.63,100,100,100,62,79.7,0,more|part|people|other|tacitus|agricola
Stendhal,fr,2,1549,65.91,82.13,82.13,82.13,100,100,100,61.7,78,0,more|part|people|other|tacitus|agricola
Balzac,fr,0,1424,61.43,77.73,77.73,77.73,100,100,100,57,63.2,0,will|eugene|father|goriot|rastignac|well
Balzac,fr,1,1415,60.61,76.92,76.92,76.92,100,100,100,50.7,70.6,0,will|eugene|father|goriot|rastignac|well
Balzac,fr,2,1473,67.21,83.47,83.47,83.47,100,100,100,61.9,84.5,0,will|eugene|father|goriot|rastignac|well
Balzac,fr,0,1413,69.4,85.72,85.72,85.72,100,100,100,68,84.6,1,grandet|eugenie|monsieur|will|madame|nanon
Balzac,fr,1,1411,63.08,79.4,79.4,79.4,100,100,100,54,77.6,0,grandet|eugenie|monsieur|will|madame|nanon
Balzac,fr,2,1402,63.09,79.41,79.41,79.41,100,100,100,58.3,69.3,0,grandet|eugenie|monsieur|will|madame|nanon
Dickens,en,0,1418,67,83.31,83.31,83.31,100,100,100,67.3,73.3,0,lorry|defarge|will|little|time|more
Dickens,en,1,1401,74.32,90.65,90.65,90.65,100,100,100,81.9,84.5,1,lorry|defarge|will|little|time|more
Dickens,en,2,1444,71.41,87.7,87.7,87.7,100,100,100,75.5,81.1,1,lorry|defarge|will|little|time|more
Dickens,en,0,1499,67.57,83.8,83.8,83.8,100,100,100,62.5,85.4,0,little|micawber|aunt|know|more|peggotty
Dickens,en,1,1466,71.64,87.9,87.9,87.9,100,100,100,73.5,86,1,little|micawber|aunt|know|more|peggotty
Dickens,en,2,1420,70.01,86.31,86.31,86.31,100,100,100,69.1,85.8,1,little|micawber|aunt|know|more|peggotty
Bronte,en,0,1401,63.77,80.1,80.1,80.1,100,100,100,53.3,82.5,0,heathcliff|linton|catherine|will|more|master
Bronte,en,1,1416,70.66,86.97,86.97,86.97,100,100,100,73.3,81.3,1,heathcliff|linton|catherine|will|more|master
Bronte,en,2,1427,72.71,89.01,89.01,89.01,100,100,100,79.9,79.7,1,heathcliff|linton|catherine|will|more|master
Austen,en,0,1491,65.15,81.38,81.38,81.38,100,100,100,56.7,83.6,0,elizabeth|darcy|will|such|bennet|much
Austen,en,1,1485,62.8,79.04,79.04,79.04,100,100,100,59.1,66.5,0,elizabeth|darcy|will|such|bennet|much
Austen,en,2,1558,71.13,87.35,87.35,87.35,100,100,100,71.6,86.9,1,elizabeth|darcy|will|such|bennet|much
Melville,en,0,1501,65.44,81.67,81.67,81.67,100,100,100,68.1,63.5,0,whale|some|ship|ahab|more|other
Melville,en,1,1486,59.77,76.01,76.01,76.01,100,100,100,41.4,84.1,0,whale|some|ship|ahab|more|other
Melville,en,2,1429,76.65,92.94,92.94,92.94,100,100,100,91.9,77.9,1,whale|some|ship|ahab|more|other
