label,scene,lever,radar_before,radar_after,radar_delta,words,target,length_ok,pairwise,PASS
low-like,BOOK_FULL_1776188316530/chapter_05.txt,f29d_ttr_score,-0.02241,-0.01614,0.00627,2263,1500,True,TIE,False
low-like,BOOK_FULL_1776188316530/chapter_05.txt,f24e_contrast_score,-0.02241,-0.02143,0.00098,2122,1500,True,TIE,False
low-like,BOOK_FULL_1776188316530/chapter_05.txt,f15b_redundancy_compression,-0.02241,-0.01724,0.00517,1861,1500,True,TIE,False
low-like,BOOK_FULL_1776188316530/chapter_05.txt,f16a_bigram_rarity,-0.02241,-0.02077,0.00164,2296,1500,True,TIE,False
mixed,BOOK_FULL_1776219750367/chapter_02.txt,f29d_ttr_score,0.00108,0.00017,-0.00091,2070,1500,True,TIE,False
mixed,BOOK_FULL_1776219750367/chapter_02.txt,f24e_contrast_score,0.00108,0.00273,0.00165,1961,1500,True,ORIGINAL,False
mixed,BOOK_FULL_1776219750367/chapter_02.txt,f15b_redundancy_compression,0.00108,-0.00254,-0.00362,2167,1500,True,TIE,False
mixed,BOOK_FULL_1776219750367/chapter_02.txt,f16a_bigram_rarity,0.00108,-0.0043,-0.00538,2264,1500,True,TIE,False
master-like,BOOK_FULL_1776125356560/chapter_06.txt,f29d_ttr_score,0.01186,0.00847,-0.00339,2192,1500,True,TIE,False
master-like,BOOK_FULL_1776125356560/chapter_06.txt,f24e_contrast_score,0.01186,0.00805,-0.00381,1951,1500,True,TIE,False
master-like,BOOK_FULL_1776125356560/chapter_06.txt,f15b_redundancy_compression,0.01186,0.01832,0.00646,2028,1500,True,TIE,False
master-like,BOOK_FULL_1776125356560/chapter_06.txt,f16a_bigram_rarity,0.01186,0.01577,0.00391,2161,1500,True,TIE,False
