label,scene,lever,mode,exemplar,radar_before,radar_after,radar_delta,words,target,length_ok,pairwise,PASS
low-like,BOOK_FULL_1776188316530/chapter_05.txt,subtext,plain,,-0.02241,-0.02134,0.00107,1721,1500,True,REWRITE,True
low-like,BOOK_FULL_1776188316530/chapter_05.txt,focalisation,plain,,-0.02241,-0.02379,-0.00138,1996,1500,True,TIE,False
low-like,BOOK_FULL_1776188316530/chapter_05.txt,image_necessity,plain,,-0.02241,-0.02442,-0.00201,1540,1500,True,TIE,False
low-like,BOOK_FULL_1776188316530/chapter_05.txt,internal_tension,plain,,-0.02241,-0.0158,0.00661,2164,1500,True,REWRITE,True
low-like,BOOK_FULL_1776188316530/chapter_05.txt,voice,plain,,-0.02241,-0.02218,0.00023,1815,1500,True,REWRITE,True
low-like,BOOK_FULL_1776188316530/chapter_05.txt,mimetic,mimetic,duras,-0.02241,-0.02174,0.00067,1722,1500,True,TIE,False
mixed,BOOK_FULL_1776219750367/chapter_02.txt,subtext,plain,,0.00108,0.00367,0.00259,1702,1500,True,TIE,False
mixed,BOOK_FULL_1776219750367/chapter_02.txt,focalisation,plain,,0.00108,-0.00589,-0.00697,1777,1500,True,TIE,False
mixed,BOOK_FULL_1776219750367/chapter_02.txt,image_necessity,plain,,0.00108,0.00461,0.00353,1916,1500,True,TIE,False
mixed,BOOK_FULL_1776219750367/chapter_02.txt,internal_tension,plain,,0.00108,-0.00239,-0.00347,2248,1500,True,TIE,False
mixed,BOOK_FULL_1776219750367/chapter_02.txt,voice,plain,,0.00108,-0.00523,-0.00631,1851,1500,True,TIE,False
mixed,BOOK_FULL_1776219750367/chapter_02.txt,mimetic,mimetic,duras,0.00108,-0.00071,-0.00179,1739,1500,True,TIE,False
master-like,BOOK_FULL_1776125356560/chapter_06.txt,subtext,plain,,0.01186,-0.00148,-0.01334,1531,1500,True,TIE,False
master-like,BOOK_FULL_1776125356560/chapter_06.txt,focalisation,plain,,0.01186,0.00661,-0.00525,1730,1500,True,TIE,False
master-like,BOOK_FULL_1776125356560/chapter_06.txt,image_necessity,plain,,0.01186,0.01331,0.00145,1768,1500,True,ORIGINAL,False
master-like,BOOK_FULL_1776125356560/chapter_06.txt,internal_tension,plain,,0.01186,0.00868,-0.00318,2196,1500,True,TIE,False
master-like,BOOK_FULL_1776125356560/chapter_06.txt,voice,plain,,0.01186,0.01437,0.00251,1631,1500,True,REWRITE,True
master-like,BOOK_FULL_1776125356560/chapter_06.txt,mimetic,mimetic,duras,0.01186,0.01001,-0.00185,1740,1500,True,REWRITE,False
