band,scene,lever,radar_before,radar_after,radar_delta,words,target,length_ok,pairwise,tie_orders,grade,PASS
low,BOOK_FULL_1776188316530/chapter_05.txt,voice,-0.02241,-0.02136,0.00105,1940,1500,True,REWRITE,0,STRONG,True
low,BOOK_FULL_1776188316530/chapter_05.txt,internal_tension,-0.02241,-0.02484,-0.00243,2062,1500,True,TIE,0,TIE,False
low,BOOK_FULL_1776188316530/chapter_05.txt,subtext,-0.02241,-0.02733,-0.00492,1462,1500,True,REWRITE,0,CANDIDATE,False
low,BOOK_FULL_1776233077701/chapter_03.txt,voice,-0.02075,-0.01389,0.00686,1924,1500,True,TIE,0,COSMETIC,False
low,BOOK_FULL_1776233077701/chapter_03.txt,internal_tension,-0.02075,-0.01314,0.00761,2278,1500,True,TIE,0,COSMETIC,False
low,BOOK_FULL_1776233077701/chapter_03.txt,subtext,-0.02075,-0.01388,0.00687,1726,1500,True,TIE,0,COSMETIC,False
mixed,BOOK_FULL_1776219750367/chapter_01.txt,voice,-0.00113,-0.00219,-0.00106,1863,1500,True,TIE,0,TIE,False
mixed,BOOK_FULL_1776219750367/chapter_01.txt,internal_tension,-0.00113,-0.00613,-0.005,2244,1500,True,TIE,0,TIE,False
mixed,BOOK_FULL_1776219750367/chapter_01.txt,subtext,-0.00113,0.00049,0.00162,2044,1500,True,TIE,0,COSMETIC,False
mixed,BOOK_FULL_1776125356560/chapter_01.txt,voice,0.00014,-0.00483,-0.00497,2527,1500,True,REWRITE,0,CANDIDATE,False
mixed,BOOK_FULL_1776125356560/chapter_01.txt,internal_tension,0.00014,-0.00572,-0.00586,1677,1500,True,REWRITE,0,SUSPECT,False
mixed,BOOK_FULL_1776125356560/chapter_01.txt,subtext,0.00014,-0.01079,-0.01093,2172,1500,True,REWRITE,0,SUSPECT,False
master,BOOK_FULL_1776125356560/chapter_06.txt,voice,0.01186,0.01075,-0.00111,1765,1500,True,TIE,0,TIE,False
master,BOOK_FULL_1776125356560/chapter_06.txt,internal_tension,0.01186,0.00747,-0.00439,2177,1500,True,TIE,0,TIE,False
master,BOOK_FULL_1776125356560/chapter_06.txt,subtext,0.01186,0.00425,-0.00761,1318,1500,False,REWRITE,0,SUSPECT,False
master,BOOK_FULL_1776188316530/chapter_07.txt,voice,0.01127,0.00717,-0.0041,1930,1500,True,TIE,0,TIE,False
master,BOOK_FULL_1776188316530/chapter_07.txt,internal_tension,0.01127,0.01115,-0.00012,2207,1500,True,TIE,0,TIE,False
master,BOOK_FULL_1776188316530/chapter_07.txt,subtext,0.01127,0.00912,-0.00215,1522,1500,True,TIE,0,TIE,False
