canonical_author,n_works,cells,titles
abel_suzanne,1,C_FORMULAIC_FR,La Poussiere Des Souvenirs
agnes_lugand,2,D_SOURCE_REAL_FR,Entre Mes Mains Le Bonheur Se Faufile / La Vie Est Facile Ne Tinquiete Pas
agnieszka_szpila,1,C_FORMULAIC_FR,Hexes
aj_broochmitt,1,C_FORMULAIC_FR,Ces Silences Que Lon Regrette
aldiss_brian,1,C_FORMULAIC_FR,La Tour Des Damnes
alexie_fioren,1,C_FORMULAIC_FR,The Joker And The Queen
alice_feeney,1,C_FORMULAIC_FR,Dix Ans Noces De Sang
alicia_garnier,1,C_FORMULAIC_FR,Willow Lake
alissa_wenz,1,C_FORMULAIC_FR,Le Desir Dans La Cage
alisson_bento,1,C_FORMULAIC_EN,Claimed By The Mountain Kings
alix_keybell,1,C_FORMULAIC_FR,De Sable Et Decailles
allix_stephane,1,C_FORMULAIC_FR,La Preuve
alston,1,C_FORMULAIC_FR,Amari Et Le Bureau Des Affaires Surnaturelles Tome 1
amelie_castier,1,C_FORMULAIC_FR,Jusqua Ce Que La Mort Nous Separe
amy_newbold,1,C_FORMULAIC_EN,A Lady Most Alluring A Grimm Regency Tale
ana_evernight,1,C_FORMULAIC_FR,Black Feathers Tome 3
ana_haug,1,C_FORMULAIC_EN,The Striker
andrea_byrd,1,C_FORMULAIC_EN,Chancing The Frontiersmans Heart
andrews_lyla,1,C_FORMULAIC_EN,Liminal
andy_holmes,1,C_FORMULAIC_EN,Recall
anita_rigins,1,C_FORMULAIC_FR,The Whisperer
ankaoua_maud,1,C_FORMULAIC_FR,Respire
ann_clara,1,C_FORMULAIC_FR,Code Of Silence
ann_mary,2,C_FORMULAIC_FR,La Lame Des Glaces / Le Sable Des Trahisons
anna_briac,1,C_FORMULAIC_FR,Dencre Et De Sang
anna_triss,3,C_FORMULAIC_FR|D_SOURCE_REAL_FR,La Guilde Des Ombres / La Guilde Des Ombres / La Guilde Des Ombres Tome 1
anna_zaires,1,C_FORMULAIC_FR,Mon Obsession
anne_robillard,2,C_FORMULAIC_FR,Irianeth / Lheritage De Danalieth
annette_lyon,1,C_FORMULAIC_EN,Falling To Pieces
annie_jay,1,C_FORMULAIC_FR,Elisabeth Princesse A Versailles Tome 12
annie_lampman,1,C_FORMULAIC_EN,The Origin Of Ava A Novel
anouk_shutterberg,1,C_FORMULAIC_FR,14 Minutes 2 Secondes
antoinette_sherell,1,C_FORMULAIC_EN,A Ghetto Tale From Ebony Ladies Night Chronicles
arizona_brook,1,C_FORMULAIC_FR,Bikers Law Tome 3
arizona_brooks,2,C_FORMULAIC_FR,Biker Law Tome 1 / Bikers Law Tome 2
armand_cecilia,2,C_FORMULAIC_FR,10 Days / The Eclipse
aurelie_valognes,2,D_SOURCE_REAL_FR,Lenvol / La Ritournelle
austen,2,MASTER_NATIVE_EN,Austen Northanger / Austen Persuasion
barlow_devan,1,C_FORMULAIC_EN,Honey And Harm
barry_hoffner,1,C_FORMULAIC_EN,Belonging To The World
beauvoir,2,MASTER_NATIVE_FR,La Force De Lage / La Force Des Choses
bellow,2,MASTER_NATIVE_EN,Henderson The Rain King / Herzog
bernard_werber,2,D_SOURCE_REAL_FR,Le Souffle Des Dieux / Le Papillon Des Etoiles
bronte,2,MASTER_NATIVE_EN,Wuthering Heights / Jane Eyre
brown_dan,1,C_FORMULAIC_EN,The Lost Symbol -special Illustrated Edition Https
brown_woody,1,C_FORMULAIC_EN,Upward Bound
bruce_jean,2,D_SOURCE_REAL_FR,Affaire N 1 / Carte Blanche Pour Oss 117
