fichier,titre,auteur,langue,genre,groupe,inclus,raison_exclusion,dossier
_OceanofPDF.com_Dashiell_Hammett_-_1930_The_Maltese_Falcon_-_Dashiell_Hammett.epub,Dashiell Hammett,1930 The Maltese Falcon - Dashiell Hammett,EN,thriller,EN-A,OUI,,nouverau livre EN
_OceanofPDF.com_And_Then_There_Were_None_-_Agatha_Christie.epub,And Then There Were None,Agatha Christie,EN,thriller,EN-A,OUI,,nouverau livre EN
_OceanofPDF.com_Country_Christie_-_Agatha_Christie.epub,Country Christie,Agatha Christie,EN,thriller,EN-A,OUI,,nouverau livre EN
_OceanofPDF.com_Murder_on_the_Orient_Express_-_Agatha_Christie.epub,Murder on the Orient Express,Agatha Christie,EN,thriller,EN-A,OUI,,nouverau livre EN
_OceanofPDF.com_The_Tuesday_Club_Murders_and_Other_Stories_-_Agatha_Christie.epub,The Tuesday Club Murders and Other Stories,Agatha Christie,EN,thriller,EN-A,OUI,,nouverau livre EN
Claimed_by_the_Mountain_Kings_-_Alisson_Bento.epub,Claimed by the Mountain Kings,Alisson Bento,EN,romance-selfpub,EN-A,OUI,,racine
_OceanofPDF.com_The_Martian_-_Andy_Weir.epub,The Martian,Andy Weir,EN,commercial,EN-A,OUI,,nouverau livre EN
_OceanofPDF.com_Interview_with_the_Vampire_-_Anne_Rice.epub,Interview with the Vampire,Anne Rice,EN,commercial,EN-A,OUI,,livre anglais en plus 2 eme salve
_OceanofPDF.com_The_Vampire_Lestat_-_Anne_Rice.epub,The Vampire Lestat,Anne Rice,EN,commercial,EN-A,OUI,,livre anglais en plus 2 eme salve
_OceanofPDF.com_Dracula_-_Bram_Stoker.epub,Dracula,Bram Stoker,EN,classic,EN-A,OUI,,nouverau livre EN
_OceanofPDF.com_Hot_ice_-_By_nora_roberts.epub,Hot ice,By nora roberts,EN,commercial,EN-A,OUI,,nouverau livre EN
_OceanofPDF.com_Choke_-_Chuck_Palahniuk.epub,Choke,Chuck Palahniuk,EN,commercial,EN-A,OUI,,nouverau livre EN
_OceanofPDF.com_Fight_Club_-_Chuck_Palahniuk.epub,Fight Club,Chuck Palahniuk,EN,commercial,EN-A,OUI,,nouverau livre EN
_OceanofPDF.com_Not_Forever_But_For_Now_-_Chuck_Palahniuk.epub,Not Forever But For Now,Chuck Palahniuk,EN,commercial,EN-A,OUI,,nouverau livre EN
