titre,auteur,groupe,langue,I,T,N_rev,S,FL,MS,Omega,U,DR,LP,E_emo,E_cog,CE,Arc_rev,R,W,PVI,SP,Q_prose,ventes_rang,confiance,goulots
Harry Potter Philosopher's Stone,J.K. Rowling,EN-A,EN,0.85,0.88,4,0.8,0.15,0.65,0.85,0.95,0.12,0.18,0.8346,0.1241,6.7239,1.2,0.7371,0.7667,4.5602,91.2034,65,1,E,
Catching Fire,Suzanne Collins,EN-A,EN,0.82,0.8,3,0.72,0.15,0.55,0.78,0.8,0.12,0.2,0.7728,0.1309,5.9049,1.2,0.7089,0.706,3.5463,70.9252,52,1,E,
Breaking Dawn,Stephenie Meyer,EN-A,EN,0.8,0.72,3,0.55,0.12,0.45,0.68,0.65,0.08,0.18,0.7015,0.1075,6.5256,1.2,0.6822,0.6271,3.3504,67.0079,38,1,E,
It Ends With Us,Colleen Hoover,EN-A,EN,0.85,0.75,2,0.55,0.12,0.55,0.8,0.65,0.1,0.15,0.7391,0.104,7.107,1.0,0.6626,0.7006,3.2991,65.9827,45,1,E,
To Kill a Mockingbird,Harper Lee,EN-C,EN,0.82,0.82,3,0.62,0.18,0.78,0.78,0.92,0.15,0.22,0.7639,0.1449,5.2716,1.2,0.7138,0.7255,3.2761,65.5228,82,,E,
And Then There Were None,Agatha Christie,EN-A,EN,0.68,0.8,4,0.85,0.15,0.62,0.82,0.85,0.1,0.18,0.7221,0.1212,5.9555,1.2,0.6637,0.6779,3.2154,64.3088,60,1,E,
Mockingjay,Suzanne Collins,EN-A,EN,0.78,0.78,3,0.68,0.15,0.55,0.72,0.78,0.12,0.2,0.7373,0.1309,5.6333,1.2,0.6913,0.6611,3.089,61.7806,50,2,E,
One for the Money,Janet Evanovich,EN-A,EN,0.78,0.72,3,0.65,0.15,0.55,0.72,0.82,0.12,0.18,0.7083,0.1279,5.5393,1.2,0.6757,0.6682,3.0011,60.0217,52,3,E,
Murder on the Orient Express,Agatha Christie,EN-A,EN,0.65,0.78,3,0.82,0.15,0.62,0.82,0.82,0.1,0.18,0.6939,0.1212,5.7225,1.2,0.6482,0.6606,2.9403,58.8066,60,2,E,
Divergent,Veronica Roth,EN-A,EN,0.78,0.75,3,0.68,0.15,0.52,0.72,0.72,0.12,0.2,0.7254,0.132,5.4951,1.2,0.6835,0.6502,2.9307,58.6133,45,3,E,
50 Shades of Grey (EN),EL James,EN-A,EN,0.8,0.72,2,0.45,0.1,0.4,0.65,0.7,0.08,0.15,0.6845,0.0935,7.3209,1.0,0.6374,0.6225,2.9045,58.0898,32,1,E,
Along Came a Spider,James Patterson,EN-A,EN,0.72,0.75,3,0.78,0.15,0.5,0.75,0.78,0.12,0.18,0.7116,0.1298,5.4844,1.2,0.6637,0.6502,2.8403,56.8063,42,2,E,
Gone Girl,Gillian Flynn,EN-A,EN,0.78,0.82,4,0.85,0.2,0.72,0.75,0.9,0.15,0.25,0.782,0.1615,4.8424,1.2,0.7014,0.6951,2.833,56.6598,68,1,E,
1984,George Orwell,EN-C,EN,0.72,0.8,3,0.72,0.18,0.72,0.78,0.9,0.18,0.22,0.7208,0.1536,4.6927,1.2,0.677,0.6848,2.6108,52.215,75,,E,
Eclipse,Stephenie Meyer,EN-A,EN,0.82,0.72,2,0.52,0.12,0.45,0.65,0.62,0.08,0.18,0.7066,0.1075,6.5727,1.0,0.6443,0.6159,2.6079,52.1587,38,2,E,
Fifty Shades Darker,EL James,EN-A,EN,0.78,0.7,2,0.42,0.1,0.4,0.62,0.65,0.08,0.15,0.6613,0.0935,7.0727,1.0,0.6248,0.59,2.6073,52.146,32,2,P,
Ugly Love,Colleen Hoover,EN-A,EN,0.8,0.7,2,0.48,0.12,0.5,0.72,0.6,0.1,0.15,0.6816,0.1055,6.4607,1.0,0.6318,0.6365,2.598,51.9591,42,3,P,
Carrie,Stephen King,EN-A,EN,0.72,0.78,3,0.75,0.18,0.62,0.78,0.82,0.15,0.22,0.7181,0.1521,4.7215,1.2,0.6717,0.6708,2.5531,51.0627,62,3,E,
The Old Man and the Sea,Ernest Hemingway,EN-C,EN,0.72,0.82,2,0.48,0.15,0.85,0.72,0.85,0.12,0.18,0.6878,0.1166,5.8972,1.0,0.6374,0.6493,2.4406,48.8116,88,,E,
The Catcher in the Rye,J.D. Salinger,EN-C,EN,0.82,0.75,2,0.55,0.15,0.72,0.55,0.92,0.12,0.18,0.7238,0.1215,5.9568,1.0,0.6525,0.6253,2.4303,48.6057,78,,E,
Fifty Shades Freed,EL James,EN-A,EN,0.75,0.68,2,0.4,0.1,0.4,0.65,0.62,0.08,0.15,0.6349,0.0935,6.7904,1.0,0.6085,0.5856,2.4199,48.397,32,3,P,
Hitchhiker's Guide,Douglas Adams,EN-A,EN,0.72,0.75,4,0.82,0.18,0.72,0.62,0.88,0.15,0.2,0.7184,0.1446,4.9682,1.2,0.6637,0.6083,2.4069,48.1388,72,1,E,
Guards! Guards!,Terry Pratchett,EN-A,EN,0.72,0.75,3,0.72,0.18,0.72,0.7,0.82,0.15,0.22,0.7014,0.1476,4.752,1.2,0.6637,0.6346,2.4019,48.0383,70,2,E,
Master of the Game,Sidney Sheldon,EN-A,EN,0.72,0.75,4,0.72,0.18,0.55,0.78,0.8,0.15,0.22,0.7014,0.1552,4.5179,1.2,0.6637,0.6673,2.4012,48.0246,48,2,E,
Killing Floor,Lee Child,EN-A,EN,0.72,0.75,3,0.75,0.18,0.55,0.75,0.82,0.15,0.22,0.7065,0.1552,4.5507,1.2,0.6637,0.6575,2.383,47.6605,52,2,E,
Of Mice and Men,John Steinbeck,EN-C,EN,0.78,0.78,2,0.62,0.18,0.75,0.78,0.88,0.15,0.18,0.7271,0.1402,5.184,1.0,0.647,0.7043,2.3625,47.2494,80,,E,
Cross and Sampson,James Patterson,EN-A,EN,0.68,0.7,3,0.72,0.15,0.48,0.72,0.72,0.12,0.18,0.6618,0.1305,5.0713,1.2,0.6365,0.6083,2.3559,47.1175,40,4,P,
A Time to Kill,John Grisham,EN-A,EN,0.75,0.72,3,0.68,0.18,0.55,0.78,0.78,0.18,0.22,0.6982,0.1613,4.3299,1.2,0.6657,0.6757,2.3373,46.7457,55,3,E,
The Martian,Andy Weir,EN-A,EN,0.78,0.8,4,0.75,0.22,0.58,0.78,0.82,0.22,0.22,0.7571,0.1881,4.025,1.2,0.6964,0.6942,2.335,46.6997,58,2,E,
One Step Too Far,Lisa Gardner,EN-A,EN,0.72,0.75,3,0.72,0.18,0.55,0.75,0.75,0.15,0.22,0.7014,0.1552,4.5179,1.2,0.6637,0.6447,2.3201,46.401,52,4,P,
The Firm,John Grisham,EN-A,EN,0.72,0.75,3,0.72,0.18,0.55,0.78,0.8,0.18,0.22,0.7014,0.1613,4.3498,1.2,0.6637,0.6673,2.3119,46.2377,55,1,E,
Fight Club,Chuck Palahniuk,EN-A,EN,0.75,0.78,3,0.8,0.25,0.78,0.75,0.9,0.18,0.22,0.7422,0.1827,4.061,1.2,0.6816,0.6835,2.2703,45.4055,72,1,E,
The Handmaid's Tale,Margaret Atwood,EN-C,EN,0.75,0.8,3,0.68,0.22,0.78,0.72,0.88,0.2,0.25,0.7296,0.1776,4.1081,1.2,0.6868,0.6669,2.2577,45.1532,80,,E,
Neverwhere,Neil Gaiman,EN-A,EN,0.72,0.8,3,0.68,0.2,0.7,0.72,0.78,0.18,0.22,0.714,0.164,4.3537,1.2,0.677,0.6365,2.2511,45.0213,68,4,E,
The Big Sleep,Raymond Chandler,EN-A,EN,0.72,0.8,3,0.72,0.22,0.78,0.72,0.88,0.18,0.25,0.7208,0.1736,4.1521,1.2,0.677,0.6548,2.2086,44.1713,75,2,E,
Counting Miracles,Nicholas Sparks,EN-A,EN,0.75,0.68,2,0.45,0.12,0.5,0.72,0.6,0.1,0.18,0.6434,0.11,5.8491,1.0,0.6085,0.6154,2.1902,43.8049,42,4,P,
The Other Side of Midnight,Sidney Sheldon,EN-A,EN,0.7,0.72,3,0.68,0.18,0.52,0.75,0.78,0.15,0.22,0.6728,0.1566,4.2963,1.2,0.6489,0.642,2.1476,42.9515,48,4,E,
Exit Strategy,Lee Child,EN-A,EN,0.7,0.72,3,0.72,0.18,0.52,0.72,0.78,0.15,0.22,0.6796,0.1566,4.3397,1.2,0.6489,0.6281,2.1223,42.4459,50,5,P,
The Maltese Falcon,Dashiell Hammett,EN-A,EN,0.7,0.78,3,0.72,0.22,0.72,0.75,0.88,0.18,0.25,0.7027,0.1769,3.9723,1.2,0.6651,0.6602,2.0929,41.8575,72,3,E,
Kiss Her Goodbye,Lisa Gardner,EN-A,EN,0.7,0.72,3,0.7,0.18,0.55,0.72,0.72,0.15,0.22,0.6762,0.1552,4.3556,1.2,0.6489,0.6168,2.0918,41.8357,52,5,P,
Small Gods,Terry Pratchett,EN-A,EN,0.68,0.72,3,0.68,0.18,0.7,0.68,0.8,0.15,0.22,0.6626,0.1485,4.4622,1.2,0.642,0.6044,2.0778,41.5568,70,4,E,
For Whom the Bell Tolls,Ernest Hemingway,EN-C,EN,0.7,0.8,3,0.55,0.2,0.8,0.72,0.8,0.2,0.25,0.6815,0.1675,4.0687,1.2,0.6704,0.6318,2.068,41.3604,84,,E,
The Pelican Brief,John Grisham,EN-A,EN,0.7,0.72,3,0.7,0.18,0.52,0.75,0.75,0.18,0.22,0.6762,0.1626,4.1587,1.2,0.6489,0.6365,2.0609,41.2172,52,4,E,
Hidden Nature,Nora Roberts,EN-A,EN,0.72,0.68,2,0.48,0.12,0.5,0.72,0.58,0.1,0.18,0.6334,0.11,5.7585,1.0,0.5977,0.5987,2.0607,41.2141,40,3,P,
Farewell My Lovely,Raymond Chandler,EN-A,EN,0.7,0.78,3,0.68,0.22,0.78,0.72,0.85,0.18,0.25,0.6959,0.1736,4.0086,1.2,0.6651,0.6411,2.0509,41.0189,75,4,E,
