titre,auteur,groupe,langue,I,T,N_rev,S,FL,MS,Omega,U,DR,LP,E_emo,E_cog,CE,Arc_rev,R,W,PVI,SP,Q_prose,ventes_rang,confiance,goulots
Cinquante nuances (FR),EL James,FR-A,FR,0.8,0.72,2,0.45,0.1,0.4,0.65,0.7,0.08,0.15,0.6845,0.0935,7.3209,1.0,0.6374,0.6225,2.9045,58.0898,32,1,E,
Le crime du paradis,Guillaume Musso,FR-A,FR,0.78,0.72,3,0.68,0.15,0.52,0.75,0.62,0.12,0.2,0.7134,0.132,5.4048,1.2,0.6757,0.6457,2.8295,56.5899,42,1,E,
Maison flamme/ombre (FR),Sarah J. Maas,FR-A,FR,0.82,0.78,4,0.65,0.2,0.55,0.72,0.68,0.18,0.22,0.7528,0.1715,4.3897,1.2,0.7039,0.6593,2.4445,48.8906,48,5,E,
Mille petits riens (FR),Jodi Picoult,FR-A,FR,0.78,0.7,3,0.6,0.18,0.58,0.72,0.72,0.15,0.22,0.6919,0.1539,4.4958,1.2,0.6704,0.6502,2.3517,47.0338,52,6,E,
Projet dernière chance (FR),Andy Weir,FR-A,FR,0.75,0.78,3,0.72,0.2,0.55,0.75,0.78,0.22,0.25,0.7286,0.184,3.9595,1.2,0.6816,0.6624,2.1451,42.9025,55,4,E,
Douce amère (FR),Danielle Steel,FR-A,FR,0.75,0.62,2,0.4,0.12,0.45,0.7,0.55,0.08,0.18,0.6114,0.1075,5.687,1.0,0.5912,0.5963,2.0048,40.0969,35,3,P,
Tout s'effondre (FR),Chinua Achebe,FR-A,FR,0.72,0.78,3,0.62,0.25,0.72,0.75,0.85,0.22,0.28,0.696,0.2035,3.4203,1.2,0.6717,0.6628,1.8275,36.5498,78,5,E,
Seconde vie (FR),Danielle Steel,FR-A,FR,0.72,0.6,2,0.38,0.12,0.45,0.68,0.52,0.08,0.18,0.5854,0.1075,5.4456,1.0,0.5744,0.5676,1.7755,35.51,35,4,P,
Stupeur et tremblements,Amélie Nothomb,FR-A,FR,0.8,0.72,2,0.62,0.22,0.7,0.72,0.82,0.18,0.22,0.7134,0.1735,4.1118,1.0,0.6374,0.6761,1.772,35.4393,68,4,E,
Millénium 1 (FR),Stieg Larsson,FR-A,FR,0.75,0.8,4,0.78,0.3,0.65,0.82,0.92,0.25,0.35,0.7466,0.2487,3.0014,1.2,0.6868,0.7163,1.7717,35.4333,62,2,E,
L'Amie prodigieuse (FR),Elena Ferrante,FR-A,FR,0.82,0.78,2,0.55,0.22,0.75,0.7,0.85,0.2,0.3,0.7358,0.1868,3.9402,1.0,0.6606,0.6805,1.7713,35.4254,72,4,E,
La Moustache,Emmanuel Carrère,FR-A,FR,0.72,0.78,2,0.75,0.22,0.72,0.65,0.85,0.18,0.22,0.7181,0.1724,4.1655,1.0,0.6262,0.6168,1.6089,32.1788,75,10,E,
Pars vite et reviens tard,Fred Vargas,FR-A,FR,0.68,0.75,3,0.72,0.28,0.65,0.78,0.8,0.22,0.28,0.6809,0.2225,3.0602,1.2,0.6502,0.6511,1.5547,31.095,65,6,E,
Les Misérables,Victor Hugo,FR-A,FR,0.82,0.85,4,0.78,0.42,0.88,0.85,0.95,0.4,0.55,0.8032,0.3431,2.3409,1.2,0.7211,0.7569,1.5333,30.6659,88,1,E,
Kevin (FR),Lionel Shriver,FR-C,FR,0.72,0.75,3,0.7,0.35,0.78,0.85,0.88,0.3,0.4,0.698,0.2792,2.4996,1.2,0.6637,0.7109,1.4154,28.308,78,,E,
Crime et Châtiment (FR),Dostoïevski,FR-C,FR,0.72,0.78,3,0.68,0.4,0.82,0.78,0.88,0.35,0.42,0.7062,0.311,2.2709,1.2,0.6717,0.6814,1.2472,24.9441,88,,E,
La Peste,Albert Camus,FR-A,FR,0.6,0.72,3,0.55,0.25,0.8,0.7,0.78,0.25,0.3,0.5999,0.2075,2.8911,1.2,0.614,0.5754,1.2257,24.5131,85,2,E,
La Chambre de Giovanni (FR),James Baldwin,FR-C,FR,0.72,0.7,2,0.52,0.28,0.78,0.68,0.8,0.22,0.28,0.648,0.2134,3.0366,1.0,0.6035,0.6215,1.1389,22.7788,82,,E,
Limonov,Emmanuel Carrère,FR-A,FR,0.65,0.7,3,0.6,0.3,0.75,0.68,0.82,0.3,0.32,0.6263,0.2467,2.538,1.2,0.626,0.5953,1.135,22.6992,78,8,E,
L'Étranger,Albert Camus,FR-A,FR,0.55,0.68,2,0.6,0.18,0.82,0.62,0.85,0.2,0.15,0.5685,0.1426,3.9867,1.0,0.5352,0.5275,1.1254,22.5087,88,1,E,
Notre-Dame de Paris,Victor Hugo,FR-A,FR,0.72,0.82,3,0.7,0.45,0.85,0.72,0.9,0.38,0.5,0.7252,0.3479,2.0845,1.2,0.6822,0.6584,1.1235,22.4704,86,2,E,
Le nom de la rose,Umberto Eco,FR-A,FR,0.68,0.82,3,0.75,0.42,0.78,0.8,0.88,0.45,0.45,0.7127,0.3486,2.0446,1.2,0.6691,0.6744,1.107,22.1404,82,3,E,
En finir avec Eddy Bellegueule,Édouard Louis,FR-B,FR,0.72,0.68,2,0.55,0.28,0.72,0.62,0.78,0.22,0.28,0.6453,0.2176,2.9657,1.0,0.5977,0.589,1.0442,20.8837,76,,E,
