"Package","Exists","LinkType","Target"
"canon-kernel","True","Junction","C:\Users\elric\omega-project\packages\canon-kernel"
"genesis-planner","True","Junction","C:\Users\elric\omega-project\packages\genesis-planner"
"genome","True","Junction","C:\Users\elric\omega-project\packages\genome"
"omega-forge","True","Junction","C:\Users\elric\omega-project\packages\omega-forge"
"phonetic-stack","True","Junction","C:\Users\elric\omega-project\packages\omega-p0"
"signal-registry","True","Junction","C:\Users\elric\omega-project\packages\signal-registry"
"creation-pipeline","True","Junction","C:\Users\elric\omega-project\packages\creation-pipeline"
"scribe-engine","True","Junction","C:\Users\elric\omega-project\packages\scribe-engine"
"style-emergence-engine","True","Junction","C:\Users\elric\omega-project\packages\style-emergence-engine"
"sovereign-engine","True","Junction","C:\Users\elric\omega-project\packages\sovereign-engine"
"orchestrator-core","True","Junction","C:\Users\elric\omega-project\packages\orchestrator-core"
"contracts-canon","True","Junction","C:\Users\elric\omega-project\packages\contracts-canon"
"decision-engine","True","Junction","C:\Users\elric\omega-project\packages\decision-engine"
"emotion-gate","True","Junction","C:\Users\elric\omega-project\packages\emotion-gate"
"governance","True","Junction","C:\Users\elric\omega-project\packages\omega-governance"
"omega-metrics","True","Junction","C:\Users\elric\omega-project\packages\omega-metrics"
"observability","True","Junction","C:\Users\elric\omega-project\packages\omega-observability"
"release","True","Junction","C:\Users\elric\omega-project\packages\omega-release"
"runner","True","Junction","C:\Users\elric\omega-project\packages\omega-runner"
"phase-q","True","Junction","C:\Users\elric\omega-project\packages\phase-q"
"proof-pack","True","Junction","C:\Users\elric\omega-project\packages\proof-pack"
"truth-gate","True","Junction","C:\Users\elric\omega-project\packages\truth-gate"
"plugin-gateway","True","Junction","C:\Users\elric\omega-project\packages\plugin-gateway"
"plugin-sdk","True","Junction","C:\Users\elric\omega-project\packages\plugin-sdk"
"sentinel-judge","True","Junction","C:\Users\elric\omega-project\packages\sentinel-judge"
"segment-engine","True","Junction","C:\Users\elric\omega-project\packages\omega-segment-engine"
"oracle","True","Junction","C:\Users\elric\omega-project\packages\oracle"
"mycelium","True","Junction","C:\Users\elric\omega-project\packages\mycelium"
"mycelium-bio","True","Junction","C:\Users\elric\omega-project\packages\mycelium-bio"
"aggregate-dna","True","Junction","C:\Users\elric\omega-project\packages\omega-aggregate-dna"
"bridge-ta-mycelium","True","Junction","C:\Users\elric\omega-project\packages\omega-bridge-ta-mycelium"
"mod-narrative","True","Junction","C:\Users\elric\omega-project\packages\mod-narrative"
"integration-nexus-dep","True","Junction","C:\Users\elric\omega-project\packages\integration-nexus-dep"
"search","True","Junction","C:\Users\elric\omega-project\packages\search"
"hardening","True","Junction","C:\Users\elric\omega-project\packages\hardening"
"headless-runner","True","Junction","C:\Users\elric\omega-project\packages\headless-runner"
"gold-cli","True","Junction","C:\Users\elric\omega-project\packages\gold-cli"
"gold-internal","True","Junction","C:\Users\elric\omega-project\packages\gold-internal"
"gold-master","True","Junction","C:\Users\elric\omega-project\packages\gold-master"
"gold-suite","True","Junction","C:\Users\elric\omega-project\packages\gold-suite"
"performance","True","Junction","C:\Users\elric\omega-project\packages\performance"
