"Path","Line","LineNumber"
"C:\Users\elric\omega-project\gateway\resilience\tests\stress\stress.test.ts","      const slowHandler = async (req: any) => {","557"
"C:\Users\elric\omega-project\gateway\sentinel\tests\check.test.ts","      let deep: any = { v: 1 };","135"
"C:\Users\elric\omega-project\gateway\sentinel\tests\structure.test.ts","      let deep: any = { value: 'end' };","24"
"C:\Users\elric\omega-project\gateway\src\creation\creation_layer_nasa\creation_types.ts","  // UUID format (relaxed : any non-empty string)","434"
"C:\Users\elric\omega-project\gateway\src\memory\memory_layer_nasa\canonical_encode.test.ts","      const obj: any = { a: 1 };","114"
"C:\Users\elric\omega-project\gateway\src\memory\memory_layer_nasa\memory_engine.test.ts","      const circular: any = {};","735"
"C:\Users\elric\omega-project\gateway\wiring\tests\e2e\e2e_chain_memory.test.ts","function createMockMemoryStack(): { stack: MockMemoryStack; calls: any[] } {","50"
"C:\Users\elric\omega-project\gateway\wiring\tests\e2e\e2e_chain_memory.test.ts","  const calls: any[] = [];","51"
"C:\Users\elric\omega-project\gateway\wiring\tests\e2e\e2e_chain_query.test.ts","function createMockQueryEngine(): { engine: MockQueryEngine; calls: any[] } {","35"
"C:\Users\elric\omega-project\gateway\wiring\tests\e2e\e2e_chain_query.test.ts","  const calls: any[] = [];","36"
"C:\Users\elric\omega-project\omega-phase23\gateway\resilience\tests\stress\stress.test.ts","      const slowHandler = async (req: any) => {","557"
"C:\Users\elric\omega-project\OMEGA_PHASE14\oracle\tests\oracle_engine.test.ts","function createMockAudit(): OracleAudit & { events: any[] } {","68"
"C:\Users\elric\omega-project\OMEGA_PHASE14\oracle\tests\oracle_engine.test.ts","  const events: any[] = [];","69"
"C:\Users\elric\omega-project\OMEGA_PHASE14\oracle\tests\oracle_engine.test.ts","  let audit: OracleAudit & { events: any[] };","83"
"C:\Users\elric\omega-project\OMEGA_PHASE14\oracle\response_parser.ts","    normalized.signals = rawSignals.map((s: any, i: number) => ({","210"
"C:\Users\elric\omega-project\OMEGA_PHASE14\oracle\response_parser.ts","    emotions = rawEmotions.map((e: any) => {","236"
"C:\Users\elric\omega-project\OMEGA_SENTINEL_SUPREME\sentinel\self\seal.ts","  // BREACHED: any breach detected","310"
"C:\Users\elric\omega-project\OMEGA_SENTINEL_SUPREME\sentinel\tests\negative.test.ts","      const violations: any[] = [];","425"
"C:\Users\elric\omega-project\packages\emotion-gate\tests\helpers\test-fixtures.ts","export function createInvalidEmotionState(type: 'negative' | 'over_one' | 'nan' | 'missing'): any {","319"
"C:\Users\elric\omega-project\packages\emotion-gate\tests\helpers\test-fixtures.ts","export function createInvalidFrame(type: 'wrong_source' | 'invalid_state'): any {","333"
"C:\Users\elric\omega-project\packages\emotion-gate\tests\integration\emotion-gate-integration.test.ts","      let previousFrame: any = undefined;","58"
"C:\Users\elric\omega-project\packages\gold-internal\test\unit\validator-error-paths.test.ts","        const obj: any = null;","149"
"C:\Users\elric\omega-project\packages\hardening\test\unit\edge-cases.test.ts","      const deep: any = {};","226"
"C:\Users\elric\omega-project\packages\hardening\test\unit\edge-cases.test.ts","      const deep: any = {};","239"
"C:\Users\elric\omega-project\packages\hardening\test\unit\json-error-paths.test.ts","    const obj: any = { a: 1 };","122"
"C:\Users\elric\omega-project\packages\hardening\test\unit\json-error-paths.test.ts","    const obj: any = { a: { b: { c: {} } } };","132"
"C:\Users\elric\omega-project\packages\hardening\test\unit\json-error-paths.test.ts","    const deep: any = {};","142"
"C:\Users\elric\omega-project\packages\hardening\test\unit\json-error-paths.test.ts","    const arr: any[] = [1, 2];","181"
"C:\Users\elric\omega-project\packages\hostile\__tests__\hostile.test.ts","    const circular: any = { a: 1 }","261"
"C:\Users\elric\omega-project\packages\hostile\__tests__\hostile.test.ts","    let deep: any = { value: 'bottom' }","275"
"C:\Users\elric\omega-project\packages\omega-segment-engine\tests\edge-cases.test.ts","      const deep: any = {};","271"
"C:\Users\elric\omega-project\packages\performance\test\unit\cache-error-paths.test.ts","      const obj: any = null;","106"
"C:\Users\elric\omega-project\packages\sbom\__tests__\sbom.test.ts","    const normalize = (s: any) => {","337"
"C:\Users\elric\omega-project\packages\sentinel-judge\tests\assembler.test.ts","    } catch (error: any) {","115"
"C:\Users\elric\omega-project\sprint28_5\OMEGA_SENTINEL_SUPREME\sentinel\self\seal.ts","  // BREACHED: any breach detected","310"
"C:\Users\elric\omega-project\sprint28_5\OMEGA_SENTINEL_SUPREME\sentinel\tests\negative.test.ts","      const violations: any[] = [];","425"
"C:\Users\elric\omega-project\src\scribe\record_replay.ts","   * @invariant SCRIBE-I08: Any 1-byte change = different hash","95"
"C:\Users\elric\omega-project\test\atlas-regen.test.ts","let atlasModule: any;","14"
"C:\Users\elric\omega-project\test\ci-cd.test.ts","let ciModule: any;","11"
"C:\Users\elric\omega-project\test\eol.test.ts","let eolModule: any;","11"
"C:\Users\elric\omega-project\test\error-codes.test.ts","let errModule: any;","11"
"C:\Users\elric\omega-project\test\error-codes.test.ts","    expect(valErrors.every((e: any) => e.code.includes('-VAL-'))).toBe(true);","109"
"C:\Users\elric\omega-project\test\error-codes.test.ts","    expect(criticalErrors.every((e: any) => e.severity === 'CRITICAL')).toBe(true);","115"
"C:\Users\elric\omega-project\test\gates.test.ts","  } catch (error: any) {","34"
"C:\Users\elric\omega-project\test\gold-final.test.ts","  let mod: any;","16"
"C:\Users\elric\omega-project\test\gold-final.test.ts","  let mod: any;","28"
"C:\Users\elric\omega-project\test\gold-final.test.ts","  let mod: any;","40"
"C:\Users\elric\omega-project\test\gold-final.test.ts","  let mod: any;","53"
"C:\Users\elric\omega-project\test\gold-final.test.ts","  let mod: any;","69"
"C:\Users\elric\omega-project\test\gold-final.test.ts","  let mod: any;","85"
"C:\Users\elric\omega-project\test\gold-final.test.ts","  let mod: any;","97"
"C:\Users\elric\omega-project\test\gold-final.test.ts","  let mod: any;","109"
"C:\Users\elric\omega-project\test\gold-final.test.ts","  let mod: any;","126"
"C:\Users\elric\omega-project\test\gold-tooling.test.ts","  let cpModule: any;","19"
"C:\Users\elric\omega-project\test\gold-tooling.test.ts","  let rbModule: any;","33"
"C:\Users\elric\omega-project\test\gold-tooling.test.ts","  let mModule: any;","52"
"C:\Users\elric\omega-project\test\gold-tooling.test.ts","  let dgModule: any;","71"
"C:\Users\elric\omega-project\test\gold-tooling.test.ts","  let hModule: any;","89"
"C:\Users\elric\omega-project\test\gold-tooling.test.ts","  let bModule: any;","108"
"C:\Users\elric\omega-project\test\gold-tooling.test.ts","  let vModule: any;","122"
"C:\Users\elric\omega-project\test\registry.test.ts","let registryModule: any;","11"
"C:\Users\elric\omega-project\test\ultimate-gold.test.ts","  let mod: any;","16"
"C:\Users\elric\omega-project\test\ultimate-gold.test.ts","  let mod: any;","30"
"C:\Users\elric\omega-project\test\ultimate-gold.test.ts","  let mod: any;","41"
"C:\Users\elric\omega-project\test\ultimate-gold.test.ts","  let mod: any;","57"
"C:\Users\elric\omega-project\test\ultimate-gold.test.ts","  let mod: any;","73"
"C:\Users\elric\omega-project\test\ultimate-gold.test.ts","  let mod: any;","87"
"C:\Users\elric\omega-project\test\ultimate-gold.test.ts","  let mod: any;","101"
"C:\Users\elric\omega-project\test\ultimate-gold.test.ts","  let mod: any;","116"
"C:\Users\elric\omega-project\tests\scribe\L1_unit_test.ts","    const validatePov = (pov: any) => pov !== null && pov !== undefined && pov.entity_id;","118"
"C:\Users\elric\omega-project\tests\scale_invariants.test.ts","  } catch (err: any) {","88"
"C:\Users\elric\omega-project\tests\scale_invariants.test.ts","function readOutput(outDir: string, inputFile: string): any {","95"
"C:\Users\elric\omega-project\tests\scale_invariants.test.ts","      const segmentRootHashes = result.segment_dnas.map((sd: any) => sd.rootHash);","337"
"C:\Users\elric\omega-project\tests\streaming_invariants.test.ts","  } catch (err: any) {","92"
"C:\Users\elric\omega-project\tests\streaming_invariants.test.ts","  } catch (err: any) {","107"
"C:\Users\elric\omega-project\tests\streaming_invariants.test.ts","function readOutput(outDir: string, inputFile: string): any {","114"
"C:\Users\elric\omega-project\tests\streaming_invariants.test.ts","      const results: any[] = [];","227"
"C:\Users\elric\omega-project\tools\oracles\canonicalizer.ts","export function canonicalizeVitestJson(raw: any): CanonicalTestReport {","16"
"C:\Users\elric\omega-project\tools\oracles\oracle_test_report.ts","  let rawJson: any;","67"
"C:\Users\elric\omega-project\concurrency_test.ts","  let io: any;","18"
"C:\Users\elric\omega-project\load.ts","  } catch (primaryError: any) {","87"
"C:\Users\elric\omega-project\load.ts","  let parsed: any;","143"
