"Path","Line","LineNumber"
"C:\Users\elric\omega-project\gateway\cli-runner\src\cli\commands\analyze.ts","        console.error(`[VERBOSE] Source: stdin (pipe)`);","1094"
"C:\Users\elric\omega-project\gateway\cli-runner\src\cli\commands\analyze.ts","        console.error(`[VERBOSE] Size: ${fileMeta.bytes} bytes`);","1095"
"C:\Users\elric\omega-project\gateway\cli-runner\src\cli\commands\analyze.ts","        console.error(`[VERBOSE] SHA256: ${fileMeta.sha256}`);","1096"
"C:\Users\elric\omega-project\gateway\cli-runner\src\cli\commands\analyze.ts","        console.error(`[VERBOSE] Language: ${getLanguageName(lang)} (${lang})`);","1097"
"C:\Users\elric\omega-project\gateway\cli-runner\src\cli\commands\analyze.ts","        console.error(`[VERBOSE] File: ${fileMeta.absolutePath}`);","1110"
"C:\Users\elric\omega-project\gateway\cli-runner\src\cli\commands\analyze.ts","        console.error(`[VERBOSE] Size: ${fileMeta.bytes} bytes`);","1111"
"C:\Users\elric\omega-project\gateway\cli-runner\src\cli\commands\analyze.ts","        console.error(`[VERBOSE] SHA256: ${fileMeta.sha256}`);","1112"
"C:\Users\elric\omega-project\gateway\cli-runner\src\cli\commands\analyze.ts","        console.error(`[VERBOSE] Language: ${getLanguageName(lang)} (${lang})`);","1113"
"C:\Users\elric\omega-project\gateway\cli-runner\src\cli\runner.ts","  const stdout = options.stdout || console.log;","98"
"C:\Users\elric\omega-project\gateway\cli-runner\src\cli\runner.ts","  const stderr = options.stderr || console.error;","99"
"C:\Users\elric\omega-project\gateway\cli-runner\src\cli\runner.ts","    console.error('Fatal error:', error);","268"
"C:\Users\elric\omega-project\gateway\src\gates\truth_gate.ts"," *   console.error(""V?rit? viol?e:"", result.verdict.violations);","283"
"C:\Users\elric\omega-project\gateway\src\hardening\hardening_checks.ts"," * Bonus: V?rifie l'absence de console.log (production)","349"
"C:\Users\elric\omega-project\gateway\src\hardening\hardening_checks.ts","      'BONUS: console.log detected - use structured logging',","364"
