"Path","Line","LineNumber"
"C:\Users\elric\omega-project\gateway\cli-runner\src\cli\runner.ts","  if (typeof process !== 'undefined' && process.exit) {","252"
"C:\Users\elric\omega-project\gateway\cli-runner\src\cli\runner.ts","    process.exit(result.exitCode);","253"
"C:\Users\elric\omega-project\gateway\cli-runner\src\cli\runner.ts","    process.exit(1);","269"
"C:\Users\elric\omega-project\gateway\facade\tests\integration\invariants.test.ts","      const input = '<script>eval(window.location)</script>';","412"
"C:\Users\elric\omega-project\gateway\facade\tests\integration\pipeline.test.ts","        data: '<script>eval(""../../../etc/passwd"")</script>' ","183"
"C:\Users\elric\omega-project\gateway\sentinel\tests\patterns.test.ts","    it('blocks eval()', () => {","46"
"C:\Users\elric\omega-project\gateway\sentinel\tests\patterns.test.ts","      const result = sentinel.checkPatterns('eval(""malicious"")');","47"
"C:\Users\elric\omega-project\omega-ui\scripts\run_first_cycle.ts","    process.exit(1);","214"
"C:\Users\elric\omega-project\omega-ui\scripts\run_first_cycle.ts","    process.exit(result.status === 'PASS' ? 0 : 1);","223"
"C:\Users\elric\omega-project\omega-ui\scripts\run_first_cycle.ts","    process.exit(1);","226"
"C:\Users\elric\omega-project\omega-ui-bootstrap\omega-ui\scripts\run_first_cycle.ts","    process.exit(1);","214"
"C:\Users\elric\omega-project\omega-ui-bootstrap\omega-ui\scripts\run_first_cycle.ts","    process.exit(result.status === 'PASS' ? 0 : 1);","223"
"C:\Users\elric\omega-project\omega-ui-bootstrap\omega-ui\scripts\run_first_cycle.ts","    process.exit(1);","226"
"C:\Users\elric\omega-project\omega-v44-phase7\phase7_verification\src\cli.ts","      process.exit(1);","334"
"C:\Users\elric\omega-project\omega-v44-phase7\phase7_verification\src\cli.ts","      process.exit(1);","345"
"C:\Users\elric\omega-project\omega-v44-phase7\phase7_verification\src\cli.ts","    process.exit(1);","355"
"C:\Users\elric\omega-project\omega-v44-phase7\proof_pack\src\cli.ts","      process.exit(1);","334"
"C:\Users\elric\omega-project\omega-v44-phase7\proof_pack\src\cli.ts","      process.exit(1);","345"
"C:\Users\elric\omega-project\omega-v44-phase7\proof_pack\src\cli.ts","    process.exit(1);","355"
"C:\Users\elric\omega-project\omega-v44-phase7\src\cli.ts","      process.exit(1);","334"
"C:\Users\elric\omega-project\omega-v44-phase7\src\cli.ts","      process.exit(1);","345"
"C:\Users\elric\omega-project\omega-v44-phase7\src\cli.ts","    process.exit(1);","355"
"C:\Users\elric\omega-project\OMEGA_PHASE20_1_MEMORY_HOOK\src\memory-hook.ts","      process.exit(0);","278"
"C:\Users\elric\omega-project\packages\gold-cli\src\cli.ts","    process.exit(code);","190"
"C:\Users\elric\omega-project\scripts\analyze-profile.ts","    process.exit(1);","46"
"C:\Users\elric\omega-project\scripts\analyze-profile.ts","  process.exit(0);","169"
"C:\Users\elric\omega-project\scripts\gate-c1-determinism.ts","    process.exit(pass ? 0 : 1);","61"
"C:\Users\elric\omega-project\scripts\gate-c1-determinism.ts","    process.exit(2);","65"
"C:\Users\elric\omega-project\scripts\gate-c2-coverage.ts","  process.exit(pass ? 0 : 1);","26"
"C:\Users\elric\omega-project\scripts\gate-c2-coverage.ts","  process.exit(2);","31"
"C:\Users\elric\omega-project\scripts\gate-c3-hostile.ts","  process.exit(pass ? 0 : 1);","81"
"C:\Users\elric\omega-project\scripts\gate-c3-hostile.ts","  process.exit(2);","86"
"C:\Users\elric\omega-project\scripts\gate-c4-trace.ts","  process.exit(v.valid ? 0 : 1);","46"
"C:\Users\elric\omega-project\scripts\gate-c4-trace.ts","  process.exit(2);","51"
"C:\Users\elric\omega-project\scripts\gate-cd-integration.ts","  process.exit(allPass ? 0 : 1);","227"
"C:\Users\elric\omega-project\scripts\gate-cd-integration.ts","  process.exit(2);","232"
"C:\Users\elric\omega-project\scripts\track-performance.ts","    process.exit(1);","87"
"C:\Users\elric\omega-project\src\runner\main.ts","  .then((exitCode) => process.exit(exitCode))","324"
"C:\Users\elric\omega-project\src\runner\main.ts","    process.exit(1);","327"
"C:\Users\elric\omega-project\tests\scribe\L4_brutal_test.ts","    '${process.exit(1)}',","215"
"C:\Users\elric\omega-project\tools\harness_official\src\b1\run_b1.ts","    if (!g.passed) { console.error(""\nGATE FAILED - Aborting""); process.exit(1); }","24"
"C:\Users\elric\omega-project\tools\harness_official\src\b1\run_b1.ts","main().catch(err => { console.error(""Fatal:"", err); process.exit(1); });","77"
"C:\Users\elric\omega-project\tools\harness_official\src\b2\run_b2.ts","    if (!g.passed) { console.error(""\nGATE FAILED - Aborting""); process.exit(1); }","24"
"C:\Users\elric\omega-project\tools\harness_official\src\b2\run_b2.ts","main().catch(err => { console.error(""Fatal:"", err); process.exit(1); });","72"
"C:\Users\elric\omega-project\tools\harness_official\src\b3\run_b3.ts","    if (!fileExists(p)) { console.error(`Missing: ${p}`); process.exit(1); }","18"
"C:\Users\elric\omega-project\tools\harness_official\src\b3\run_b3.ts","main().catch(err => { console.error(""Fatal:"", err); process.exit(1); });","54"
"C:\Users\elric\omega-project\tools\oracles\ignition.ts","    process.exit(0);","186"
"C:\Users\elric\omega-project\tools\oracles\ignition.ts","    process.exit(1);","191"
"C:\Users\elric\omega-project\tools\oracles\ignition.ts","  process.exit(1);","197"
"C:\Users\elric\omega-project\tools\oracles\oracle_runtime_manifest.ts","      if (!result.success) process.exit(1);","189"
"C:\Users\elric\omega-project\tools\oracles\oracle_runtime_manifest.ts","      process.exit(1);","193"
"C:\Users\elric\omega-project\tools\oracles\oracle_test_report.ts","      if (result.entryCount === 0) process.exit(1);","116"
"C:\Users\elric\omega-project\tools\oracles\oracle_test_report.ts","      process.exit(1);","120"
"C:\Users\elric\omega-project\tools\_graveyard\20260126_0132\harness_v1\b1\run_b1.ts","    process.exit(1);","120"
"C:\Users\elric\omega-project\tools\_graveyard\20260126_0132\harness_v1\b1\run_b1.ts","    process.exit(2);","131"
"C:\Users\elric\omega-project\tools\_graveyard\20260126_0132\harness_v1\b2\run_b2.ts","    process.exit(1);","99"
"C:\Users\elric\omega-project\tools\_graveyard\20260126_0132\harness_v1\b2\run_b2.ts","    process.exit(2);","110"
"C:\Users\elric\omega-project\tools\_graveyard\20260126_0132\harness_v1\b3\run_b3.ts","    process.exit(1);","129"
"C:\Users\elric\omega-project\bench_gen_text.ts","    process.exit(0);","187"
"C:\Users\elric\omega-project\run_pipeline.ts","    process.exit(1);","13"
"C:\Users\elric\omega-project\run_pipeline.ts","    process.exit(1);","32"
"C:\Users\elric\omega-project\run_pipeline.ts","    process.exit(1);","46"
"C:\Users\elric\omega-project\run_pipeline.ts","main().catch(err => { console.error('ERROR:', err.message); process.exit(1); });","69"
"C:\Users\elric\omega-project\run_pipeline_scale.ts","    process.exit(inArg ? 1 : 0);","222"
"C:\Users\elric\omega-project\run_pipeline_scale.ts","    process.exit(1);","603"
"C:\Users\elric\omega-project\run_pipeline_scale.ts","  process.exit(1);","614"
"C:\Users\elric\omega-project\run_pipeline_scale_v2.ts","    process.exit(inArg ? 1 : 0);","260"
"C:\Users\elric\omega-project\run_pipeline_scale_v2.ts","    process.exit(1);","735"
"C:\Users\elric\omega-project\run_pipeline_scale_v2.ts","  process.exit(1);","746"
