"Type","Name","File"
"class","AggregateInvariantError","packages\omega-aggregate-dna\src\invariants.ts"
"class","AggregationProcessor","packages\search\src\filters.ts"
"class","AlertEngine","_TO_DELETE_MANUALLY\OMEGA_PHASE13A\observability\alert_engine.ts"
"class","AllowAllPolicy","gateway\src\gateway.ts"
"class","AntiBypassScanner","gateway\wiring\src\anti_bypass_scanner.ts"
"class","AntiFlipController","_TO_DELETE_MANUALLY\OMEGA_PHASE14\router\anti_flap.ts"
"class","ArtifactBuildContext","gateway\src\creation\creation_layer_nasa\artifact_builder.ts"
"class","AtlasError","_TO_DELETE_MANUALLY\nexus\atlas\src\errors.ts"
"class","AtlasIndexAlreadyExistsError","_TO_DELETE_MANUALLY\nexus\atlas\src\errors.ts"
"class","AtlasIndexCorruptError","_TO_DELETE_MANUALLY\nexus\atlas\src\errors.ts"
"class","AtlasIndexError","_TO_DELETE_MANUALLY\nexus\atlas\src\errors.ts"
"class","AtlasIndexNotFoundError","_TO_DELETE_MANUALLY\nexus\atlas\src\errors.ts"
"class","AtlasProjectionError","_TO_DELETE_MANUALLY\nexus\atlas\src\errors.ts"
"class","AtlasProjectionFailedError","_TO_DELETE_MANUALLY\nexus\atlas\src\errors.ts"
"class","AtlasQueryError","_TO_DELETE_MANUALLY\nexus\atlas\src\errors.ts"
"class","AtlasQueryFieldNotFoundError","_TO_DELETE_MANUALLY\nexus\atlas\src\errors.ts"
"class","AtlasQueryInvalidFilterError","_TO_DELETE_MANUALLY\nexus\atlas\src\errors.ts"
"class","AtlasQueryInvalidOperatorError","_TO_DELETE_MANUALLY\nexus\atlas\src\errors.ts"
"class","AtlasStore","_TO_DELETE_MANUALLY\nexus\atlas\src\store.ts"
"class","AtlasStore","nexus\atlas\src\store.ts"
"class","AtlasSubscriptionCallbackError","_TO_DELETE_MANUALLY\nexus\atlas\src\errors.ts"
"class","AtlasSubscriptionError","_TO_DELETE_MANUALLY\nexus\atlas\src\errors.ts"
"class","AtlasSubscriptionNotFoundError","_TO_DELETE_MANUALLY\nexus\atlas\src\errors.ts"
"class","AtlasViewAlreadyExistsError","_TO_DELETE_MANUALLY\nexus\atlas\src\errors.ts"
"class","AtlasViewError","_TO_DELETE_MANUALLY\nexus\atlas\src\errors.ts"
"class","AtlasViewNotFoundError","_TO_DELETE_MANUALLY\nexus\atlas\src\errors.ts"
"class","AtlasViewVersionConflictError","_TO_DELETE_MANUALLY\nexus\atlas\src\errors.ts"
"class","AuditTrail","_TO_DELETE_MANUALLY\OMEGA_PHASE13A\observability\audit_trail.ts"
"class","BenchmarkSuite","packages\performance\src\benchmark.ts"
"class","BoussoleEmotionnelle","omega-v44\src\phase5_mycelium\BoussoleEmotionnelle.ts"
"class","BridgeError","_TO_DELETE_MANUALLY\OMEGA_PHASE14\ipc\bridge.ts"
"class","CanonError","_TO_DELETE_MANUALLY\errors.ts"
"class","CanonError","gateway\src\gates\canon_engine.ts"
"class","CanonicalEncodeError","gateway\src\memory\memory_layer_nasa\canonical_encode.ts"
"class","CanonicalizeError","packages\genome\src\core\canonical.ts"
"class","CanonicalJsonError","gateway\wiring\src\canonical_json.ts"
"class","CanonStore","_TO_DELETE_MANUALLY\OMEGA_PHASE18_MEMORY\src\canon\canon-store.ts"
"class","CanonStore","_TO_DELETE_MANUALLY\OMEGA_PHASE20_INTEGRATION\src\canon-store.ts"
"class","CarryBuffer","packages\omega-segment-engine\src\stream\carry_buffer.ts"
"class","CausalityMatrixBuilder","gateway\wiring\src\proof\crystal.ts"
"class","CertificationEngine","_TO_DELETE_MANUALLY\nexus\src\certification\engine.ts"
"class","CertificationEngine","_TO_DELETE_MANUALLY\omega-nexus\src\certification\engine.ts"
"class","ChaosHarness","gateway\chaos\src\chaos\chaos.ts"
"class","ChaosInjector","_TO_DELETE_MANUALLY\omega-phase23\gateway\resilience\src\chaos\injector.ts"
"class","ChaosInjector","gateway\resilience\src\chaos\injector.ts"
"class","Chronicle","_TO_DELETE_MANUALLY\OMEGA_SPRINT15\src\nexus\chronicle.ts"
"class","ChronicleWriter","gateway\wiring\src\orchestrator\chronicle.ts"
"class","CircuitBreaker","_TO_DELETE_MANUALLY\OMEGA_PHASE14\router\circuit_breaker.ts"
"class","CircuitBreaker","gateway\wiring\src\orchestrator\orchestrator.ts"
"class","ClaudeProvider","genesis-forge\src\genesis\engines\provider_claude.ts"
"class","ConfidenceCalibrator","_TO_DELETE_MANUALLY\OMEGA_PHASE14\oracle\confidence_calibrator.ts"
"class","ConfidenceReportBuilder","gateway\src\creation\creation_layer_nasa\creation_types.ts"
"class","ConflictResolver","_TO_DELETE_MANUALLY\OMEGA_PHASE18_MEMORY\src\resolver\conflict-resolver.ts"
"class","ConsoleWriter","packages\gold-cli\src\output.ts"
"class","ContextTracker","_TO_DELETE_MANUALLY\OMEGA_PHASE18_MEMORY\src\context\context-tracker.ts"
"class","CoreEngine","_TO_DELETE_MANUALLY\OMEGA_EMOTION_ENGINE_EXTRACT_20260123-025708\03_emotion_engine_files\CoreEngine.ts"
"class","CoreEngine","omega-v44\src\phase2_core\CoreEngine.ts"
"class","Counter","_TO_DELETE_MANUALLY\nexus\shared\metrics\index.ts"
"class","Counter","nexus\shared\metrics\index.ts"
"class","CoverageMatrixBuilder","_TO_DELETE_MANUALLY\omega-phase23\gateway\resilience\src\proof\builder.ts"
"class","CoverageMatrixBuilder","gateway\resilience\src\proof\builder.ts"
"class","CoverageTracker","_TO_DELETE_MANUALLY\omega-phase23\gateway\resilience\src\adversarial\coverage.ts"
"class","CoverageTracker","gateway\resilience\src\adversarial\coverage.ts"
"class","CreationEngine","gateway\src\creation\creation_layer_nasa\creation_engine.ts"
"class","CreationError","gateway\src\creation\creation_layer_nasa\creation_errors.ts"
"class","CrystalBuilder","_TO_DELETE_MANUALLY\omega-phase23\gateway\resilience\src\proof\builder.ts"
