"Extension","Count","TotalSize"
".md","1478","14712152"
".ts","1335","12870270"
".json","541","6589891"
".txt","464","9058681"
".sha256","205","2259423"
".rs","91","808316"
".log","84","3110513"
".ps1","84","612617"
".yaml","49","151205"
".tsx","44","217163"
".cjs","37","174932"
".js","33","477301"
".zip","20","138685153"
".jsonl","17","4205"
".yml","17","173508"
".map","16","99574"
".csv","15","6062952"
".sh","12","37170"
".gz","12","1984178"
".ndjson","9","13175"
"","8","27540"
".mjs","8","80147"
".gitignore","8","9422"
".svg","7","52430"
".env","6","3246"
".png","6","68484"
".gitkeep","6","0"
".patch","5","9212"
".bak","3","16502"
".css","3","38748"
".toml","3","2150"
".html","3","1814"
".snap","2","7046"
".cpuprofile","2","21652"
".py","2","14549"
".exe","2","46917274"
".diff","1","16611"
".local","1","180"
".msi","1","5820416"
".omega","1","1335"
".gitattributes","1","6787"
".tar","1","10240"
".lock","1","147834"
".backup","1","35585"
".ico","1","4286"
