"File","Line","Match","Context"
"_TO_DELETE_MANUALLY\nexus\proof\audit_supreme\bible\modules\oracle.md","212","ANTHROPIC_API_KEY","apiKey: process.env.ANTHROPIC_API_KEY,"
"_TO_DELETE_MANUALLY\nexus\proof\audit_supreme\bible\modules\oracle.md","227","OPENAI_API_KEY","apiKey: process.env.OPENAI_API_KEY"
"_TO_DELETE_MANUALLY\nexus\proof\audit_supreme\bible\modules\oracle.md","242","ANTHROPIC_API_KEY","apiKey: process.env.ANTHROPIC_API_KEY,"
"_TO_DELETE_MANUALLY\OMEGA_MASTER_DOSSIER_v3.83.0\07_SESSION_SAVES\SESSION_SAVE_GENESIS_FORGE_2026-01-23.md","73","sk-ant-","**Clé API**: `sk-ant-api03-j_Lu8EaurWHHyJpYmYh19GQy...` (test OMEGA)"
"_TO_DELETE_MANUALLY\OMEGA_MASTER_DOSSIER_v3.83.0\07_SESSION_SAVES\SESSION_SAVE_GENESIS_FORGE_2026-01-23.md","77","CLAUDE_API_KEY","Add-Content -Path "".env.local"" -Value ""CLAUDE_API_KEY=..."""
"_TO_DELETE_MANUALLY\OMEGA_MASTER_DOSSIER_v3.83.0\07_SESSION_SAVES\SESSION_SAVE_GENESIS_FORGE_2026-01-23.md","202","GEMINI_API_KEY","Add-Content -Path "".env.local"" -Value ""GEMINI_API_KEY=..."""
"artefacts\NUMBERS_AUDIT.md","29","ghp_","| 0 | Secrets detected | patch_scan/PATCH4_AUDIT_LOG.md | `grep -rn ""AKIA\|sk-\|ghp_""` |"
"genesis-forge\nexus\proof\patch_20260123_224006\PATCH4_AUDIT_LOG.md","14","ghp_","| Secrets | `grep -rn ""AKIA\|sk-\|ghp_""` | **0** |"
"genesis-forge\nexus\proof\scan_20260123_222901\git\log_oneline_all.txt","7","CLAUDE_API_KEY","8f46279 fix(stats): accept CLAUDE_API_KEY and map to ANTHROPIC_API_KEY"
"genesis-forge\README.md","44","CLAUDE_API_KEY","CLAUDE_API_KEY=your-claude-api-key-here"
"genesis-forge\README.md","45","GEMINI_API_KEY","GEMINI_API_KEY=your-gemini-api-key-here"
"genesis-forge\README.md","182","CLAUDE_API_KEY","// Uses CLAUDE_API_KEY from environment"
