"RelPath","Length","Extension"
".warmup\test.tar","10240",".tar"
".warmup\test.tar.gz","160",".gz"
"_TO_DELETE_MANUALLY\archives\OMEGA_PHASE29_2_EVIDENCE.zip","9935",".zip"
"_TO_DELETE_MANUALLY\archives\phase33_0\OMEGA_PHASE_33_0_v3.37.0_20260110_0004_16586f6.tar.gz","32798",".gz"
"_TO_DELETE_MANUALLY\archives\phase34_0\OMEGA_PHASE_34_0_v3.38.0_20260110_0009_9b0a677.tar.gz","32464",".gz"
"_TO_DELETE_MANUALLY\archives\phase35_0\OMEGA_PHASE_35_0_v3.39.0_20260110_0012_3397f26.tar.gz","32425",".gz"
"_TO_DELETE_MANUALLY\archives\phase36_0\OMEGA_PHASE_36_0_v3.40.0_20260110_0015_8b0a07d.tar.gz","32710",".gz"
"_TO_DELETE_MANUALLY\archives\phase37_0\OMEGA_PHASE_37_0_v3.41.0_20260110_0018_3cfa539.tar.gz","32104",".gz"
"_TO_DELETE_MANUALLY\archives\phase38_0\OMEGA_PHASE_38_0_v3.42.0_20260110_0022_5913919.tar.gz","32656",".gz"
"_TO_DELETE_MANUALLY\archives\phase39_0\OMEGA_PHASE_39_0_v3.43.0_20260110_0024_819fd05.tar.gz","32344",".gz"
"_TO_DELETE_MANUALLY\archives\phase40_0\OMEGA_PHASE_40_0_v3.44.0_20260110_0027_ff2e30b.tar.gz","32063",".gz"
"_TO_DELETE_MANUALLY\archives\phase41_0\OMEGA_PHASE_41_0_v3.45.0_20260110_0030_0720127.tar.gz","32416",".gz"
"_TO_DELETE_MANUALLY\archives\phase42_0\OMEGA_GOLD_MASTER_DOCS_v3.46.0_20260110_0037_fe65d46.tar.gz","904373",".gz"
"_TO_DELETE_MANUALLY\archives\phase42_0\OMEGA_GOLD_MASTER_SRC_v3.46.0_20260110_0042_e7a5b6c.tar.gz","787665",".gz"
"_TO_DELETE_MANUALLY\archives\phase43_0\OMEGA_PHASE_43_0_v3.47.0_20260110_0200_aae6933.zip","23923",".zip"
"_TO_DELETE_MANUALLY\archives\phase44_0\OMEGA_PHASE_44_0_v3.48.0_20260110_0208_9c1f2ca.zip","10955",".zip"
"_TO_DELETE_MANUALLY\archives\phase61_0\OMEGA_PHASE_61_0_v3.64.0_20260111_030024_ad83887.zip","40776",".zip"
"_TO_DELETE_MANUALLY\EXPORT_FULL_PACK_30_60.zip","91900",".zip"
"_TO_DELETE_MANUALLY\GENESIS_FORGE_v1.0.0_CERTIFIED.zip","20117023",".zip"
"_TO_DELETE_MANUALLY\nexus\proof\genesis_b_extract_20260123-032111.zip","1829",".zip"
"_TO_DELETE_MANUALLY\nexus-search-poc\NEXUS_SEARCH_POC_v0.1.0_CERTIFIED.zip","20340936",".zip"
"_TO_DELETE_MANUALLY\OMEGA_AUTO_FINISH_v1.1_20260119.zip","40464229",".zip"
"_TO_DELETE_MANUALLY\OMEGA_EMOTION_ENGINE_EXTRACT_20260123-025708.zip","60505",".zip"
"_TO_DELETE_MANUALLY\OMEGA_GATEWAY_DOCS_v2.5.0.zip","10487",".zip"
"_TO_DELETE_MANUALLY\OMEGA_MASTER_DOSSIER_v3.83.0\08_ARCHIVES_REFERENCED\GENESIS_FORGE_v1.0.0_CERTIFIED.zip","20117023",".zip"
"_TO_DELETE_MANUALLY\OMEGA_MASTER_DOSSIER_v3.83.0\11_GOLD_MASTERS\GENESIS_FORGE_v1.0.0_CERTIFIED.zip","20117023",".zip"
"_TO_DELETE_MANUALLY\OMEGA_MASTER_DOSSIER_v3.83.0\11_GOLD_MASTERS\GENESIS_FORGE_v1.0.0_GOLD_MASTER.zip","112249",".zip"
"_TO_DELETE_MANUALLY\OMEGA_MASTER_DOSSIER_v3.83.0\11_GOLD_MASTERS\GENESIS_FORGE_v1.1.0_EMOTIONAL_FLOOR.zip","74401",".zip"
"_TO_DELETE_MANUALLY\OMEGA_MASTER_DOSSIER_v3.83.0\11_GOLD_MASTERS\GENESIS_FORGE_v1.2.0_OMEGA.zip","92303",".zip"
"_TO_DELETE_MANUALLY\omega-bridge-win.exe","42967065",".exe"
"_TO_DELETE_MANUALLY\omega-ui\src-tauri\src\modules\emotion_analyzer.rs.bak","14728",".bak"
"_TO_DELETE_MANUALLY\omega-ui\src-tauri\src\pipeline\runner.rs.bak","1379",".bak"
"_TO_DELETE_MANUALLY\omega-v44-gold-master.zip","16816980",".zip"
"_TO_DELETE_MANUALLY\omega-v44-phase7\archives\proof_pack_phase7_v1.2_certified.zip","81769",".zip"
"_TO_DELETE_MANUALLY\omega-v44-phase7\proof_pack_phase7_v1.2.zip","81769",".zip"
"_TO_DELETE_MANUALLY\releases\v1.7.0-INDUSTRIAL\OMEGA_Setup_v1.7.0-INDUSTRIAL_x64.exe","3950209",".exe"
"_TO_DELETE_MANUALLY\releases\v1.7.0-INDUSTRIAL\OMEGA_Setup_v1.7.0-INDUSTRIAL_x64.msi","5820416",".msi"
"gateway\vitest.config.ts.bak","395",".bak"
"genesis-forge\nexus\proof\scan_20260123_222901\OMEGA_FORENSIC_PROOF_20260123.zip","19138",".zip"
