"RelPath","Length"
"_TO_DELETE_MANUALLY\omega-bridge-win.exe","42967065"
"_TO_DELETE_MANUALLY\OMEGA_AUTO_FINISH_v1.1_20260119.zip","40464229"
"_TO_DELETE_MANUALLY\nexus-search-poc\NEXUS_SEARCH_POC_v0.1.0_CERTIFIED.zip","20340936"
"_TO_DELETE_MANUALLY\GENESIS_FORGE_v1.0.0_CERTIFIED.zip","20117023"
"_TO_DELETE_MANUALLY\OMEGA_MASTER_DOSSIER_v3.83.0\11_GOLD_MASTERS\GENESIS_FORGE_v1.0.0_CERTIFIED.zip","20117023"
"_TO_DELETE_MANUALLY\OMEGA_MASTER_DOSSIER_v3.83.0\08_ARCHIVES_REFERENCED\GENESIS_FORGE_v1.0.0_CERTIFIED.zip","20117023"
"_TO_DELETE_MANUALLY\omega-v44-gold-master.zip","16816980"
"_TO_DELETE_MANUALLY\releases\v1.7.0-INDUSTRIAL\OMEGA_Setup_v1.7.0-INDUSTRIAL_x64.msi","5820416"
"_TO_DELETE_MANUALLY\nexus\proof\emotion_engine_scan_20260123-024331\pattern_hits.csv","5189466"
"_TO_DELETE_MANUALLY\OMEGA_GAPS_REPORT_20260112-205940.md","4430569"
"_TO_DELETE_MANUALLY\releases\v1.7.0-INDUSTRIAL\OMEGA_Setup_v1.7.0-INDUSTRIAL_x64.exe","3950209"
"_TO_DELETE_MANUALLY\OMEGA_EMOTION_ENGINE_EXTRACT_20260123-025708\04_emotion_enum_hits.txt","2073230"
"_TO_DELETE_MANUALLY\artifacts\reports\2026-01-12\OMEGA_INVENTORY_20260112-223532.json","1044648"
"_TO_DELETE_MANUALLY\archives\phase42_0\OMEGA_GOLD_MASTER_DOCS_v3.46.0_20260110_0037_fe65d46.tar.gz","904373"
"_TO_DELETE_MANUALLY\archives\phase42_0\OMEGA_GOLD_MASTER_SRC_v3.46.0_20260110_0042_e7a5b6c.tar.gz","787665"
"_TO_DELETE_MANUALLY\nexus\proof\todo-cleanup-20260119-170500\AFTER_SCAN.txt","572283"
"_TO_DELETE_MANUALLY\artifacts\reports\2026-01-12\OMEGA_INVENTORY_20260112-223532.txt","569972"
"_TO_DELETE_MANUALLY\artifacts\reports\2026-01-12\OMEGA_INVENTORY_20260112-222733.txt","569289"
"_TO_DELETE_MANUALLY\artifacts\reports\2026-01-12\OMEGA_INVENTORY_20260112-222440.txt","568747"
