"Path","Line","LineNumber"
"C:\Users\elric\omega-project\.github\OMEGA_RELEASE_v1.0.0-GOLD\RELEASE_NOTE_v1.0.0-GOLD.md","| **Atomic Write** | Sauvegarde atomique avec fichiers temporaires UUID | ? |","25"
"C:\Users\elric\omega-project\.github\RELEASE_TEMPLATE.md","Tests:       XXXX passed (XXXX)","23"
"C:\Users\elric\omega-project\apps\omega-ui\src\core\analyzer.ts","  'contempt',","48"
"C:\Users\elric\omega-project\apps\omega-ui\src\core\analyzer.ts","    contempt: ['contempt', 'disdain', 'scorn', 'disrespect'],","98"
"C:\Users\elric\omega-project\apps\omega-ui\src\core\analyzer.ts","  const negativeEmotions: Emotion14[] = ['sadness', 'anger', 'fear', 'disgust', 'guilt', 'shame', 'envy', 'contempt'];","137"
"C:\Users\elric\omega-project\apps\omega-ui\src\core\dna.ts"," * Extract temporal features (emotion progression)","129"
"C:\Users\elric\omega-project\apps\omega-ui\src\core\dna.ts"," * @returns Array of 14 temporal slope values","131"
"C:\Users\elric\omega-project\apps\omega-ui\src\core\dna.ts","function extractTemporalFeatures(analysis: TextAnalysisResult): number[] {","133"
"C:\Users\elric\omega-project\apps\omega-ui\src\core\dna.ts","  components.push(...normalize(extractTemporalFeatures(analysis)));","197"
"C:\Users\elric\omega-project\apps\omega-ui\src\core\types.ts","  | 'contempt';","24"
"C:\Users\elric\omega-project\apps\omega-ui\src\hooks\useOracle.ts","  contempt: 0,","147"
"C:\Users\elric\omega-project\apps\omega-ui\src\hooks\useOracle.ts","  contempt: ['contempt', 'disdain', 'scorn', 'despise', 'look down'],","167"
"C:\Users\elric\omega-project\apps\omega-ui\tests\charts.test.ts","      contempt: '#708090',","25"
"C:\Users\elric\omega-project\apps\omega-ui\tests\charts.test.ts","      const secondary = ['love', 'guilt', 'shame', 'pride', 'envy', 'contempt'];","47"
"C:\Users\elric\omega-project\apps\omega-ui\tests\charts.test.ts","        'envy', 'contempt',","192"
"C:\Users\elric\omega-project\apps\omega-ui\tests\core.test.ts","      expect(EMOTION14_LIST).toContain('contempt');","33"
"C:\Users\elric\omega-project\apps\omega-ui\tests\oracle.test.ts","          contempt: 0,","98"
"C:\Users\elric\omega-project\apps\omega-ui\tests\oracle.test.ts","        'envy', 'contempt',","158"
"C:\Users\elric\omega-project\apps\omega-ui\tests\oracle.test.ts","        envy: 0, contempt: 0,","418"
"C:\Users\elric\omega-project\apps\omega-ui\tests\theme.test.ts","      const systemPreference = 'dark'; // mocked","62"
"C:\Users\elric\omega-project\apps\omega-ui\tests\theme.test.ts","      const resolved = theme === 'system' ? systemPreference : theme;","63"
