"Name","Count"
"C:\Users\elric\omega-project\docs\TODO_MARKER_EXCEPTIONS.md","104"
"C:\Users\elric\omega-project\nexus\tooling\test\templates.test.js","94"
"C:\Users\elric\omega-project\omega-phase23\gateway\resilience\src\temporal\invariants.ts","90"
"C:\Users\elric\omega-project\gateway\resilience\src\temporal\invariants.ts","90"
"C:\Users\elric\omega-project\gateway\src\creation\creation_layer_nasa\template_registry.test.ts","89"
"C:\Users\elric\omega-project\gateway\src\creation\creation_layer_nasa\template_registry.ts","78"
"C:\Users\elric\omega-project\OMEGA_SENTINEL_SUPREME\sentinel\tests\falsification.test.ts","73"
"C:\Users\elric\omega-project\sprint28_5\OMEGA_SENTINEL_SUPREME\sentinel\tests\falsification.test.ts","73"
"C:\Users\elric\omega-project\packages\sbom\__tests__\sbom.test.ts","63"
"C:\Users\elric\omega-project\gateway\src\creation\creation_layer_nasa\artifact_builder.test.ts","63"
"C:\Users\elric\omega-project\sprint28_5\OMEGA_SENTINEL_SUPREME\sentinel\tests\falsification-runner.test.ts","59"
"C:\Users\elric\omega-project\OMEGA_SENTINEL_SUPREME\sentinel\tests\falsification-runner.test.ts","59"
"C:\Users\elric\omega-project\OMEGA_SENTINEL_SUPREME\sentinel\falsification\engine.ts","57"
"C:\Users\elric\omega-project\sprint28_5\OMEGA_SENTINEL_SUPREME\sentinel\falsification\engine.ts","57"
"C:\Users\elric\omega-project\nexus\tooling\scripts\templates.js","51"
"C:\Users\elric\omega-project\gateway\src\creation\creation_layer_nasa\creation_engine.ts","49"
"C:\Users\elric\omega-project\gateway\src\creation\creation_layer_nasa\creation_engine.test.ts","45"
"C:\Users\elric\omega-project\sprint28_5\OMEGA_SENTINEL_SUPREME\sentinel\refusal\engine.ts","37"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_M_CAPSULE_PORTABLE.md","37"
"C:\Users\elric\omega-project\OMEGA_SENTINEL_SUPREME\sentinel\refusal\engine.ts","37"
"C:\Users\elric\omega-project\packages\search\src\export.ts","35"
"C:\Users\elric\omega-project\gateway\resilience\tests\temporal\temporal.test.ts","34"
"C:\Users\elric\omega-project\omega-phase23\gateway\resilience\tests\temporal\temporal.test.ts","34"
"C:\Users\elric\omega-project\nexus\proof\FORENSIC_SCAN__phase-q-seal-tests__c32098ab__2026-02-03_235225\DOC_01_DOC_INDEX.md","34"
"C:\Users\elric\omega-project\genesis-forge\src\genesis\engines\drafter.ts","34"
"C:\Users\elric\omega-project\nexus\proof\scan-freeze-20260119\OMEGA_SCAN_RAPPORT_CONSOLIDE.md","31"
"C:\Users\elric\omega-project\gateway\src\creation\creation_layer_nasa\creation_types.ts","31"
"C:\Users\elric\omega-project\nexus\proof\todo-cleanup-20260119-170500\TODO_CLEANUP_CHANGES.md","30"
"C:\Users\elric\omega-project\gateway\src\creation\creation_layer_nasa\creation_request.test.ts","27"
"C:\Users\elric\omega-project\gateway\resilience\src\temporal\index.ts","27"
