"ID","Status","Severity","Priority","Path"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","ncr-m2-closure-t7-npm-test.log"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","ncr-m2-phase1-t7-npm-test.log"
"UNKNOWN","UNKNOWN","MEDIUM","UNKNOWN","examples\runs\run_hostile_rejected\NCR_HOSTILE_NOT_REJECTED.md"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","history\NCR_LOG.md"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","nexus\proof\NCR_ACTION_BIAS.md"
"UNKNOWN","OPEN_DIAGNOSED","MEDIUM","UNKNOWN","nexus\proof\NCR_ARCHETYPE_DETECTION_DRIFT.md"
"NCR_BENCH_METHOD_DRIFT","UNKNOWN","HIGH","UNKNOWN","nexus\proof\NCR_BENCH_METHOD_DRIFT.md"
"NCR_BUILD_CASCADE_INCOMPLETE","OPEN","P2","UNKNOWN","nexus\proof\NCR_BUILD_CASCADE_INCOMPLETE.md"
"NCR_CANON_ENGINE_JUNCTION_ORPHAN","DOCUMENTED","P3","UNKNOWN","nexus\proof\NCR_CANON_ENGINE_JUNCTION_ORPHAN.md"
"UNKNOWN","DIAGNOSED","UNKNOWN","UNKNOWN","nexus\proof\NCR_CATHEDRAL_BASELINE.md"
"UNKNOWN","CLOSED_CONFIRMED","MEDIUM","UNKNOWN","nexus\proof\NCR_CORPUS_TN_INVALID.md"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","nexus\proof\NCR_DEDALE_RESET_HEALTH_IMPL_HASHES_2026-04-23.txt"
"UNKNOWN","OPEN","HIGH","UNKNOWN","nexus\proof\NCR_DEDALE_RESET_HEALTH_NOT_ENFORCED.md"
"UNKNOWN","CLOSED_CONFIRMED","HIGH","UNKNOWN","nexus\proof\NCR_DIRECTIVE_BLOAT.md"
"NCR_ESM_BUNDLER_VS_NODE_RUNTIME","OPEN","P1","UNKNOWN","nexus\proof\NCR_ESM_BUNDLER_VS_NODE_RUNTIME.md"
"UNKNOWN","UNKNOWN","HIGH","UNKNOWN","nexus\proof\NCR_FROZEN_BREACH_DUEL_ENGINE_2026-04-20.md"
"UNKNOWN","UNKNOWN","LOW","UNKNOWN","nexus\proof\NCR_GAMMA_INERT.md"
"NCR_GATE_IMPORTS_BUNDLER_BLINDNESS","OPEN","P1","UNKNOWN","nexus\proof\NCR_GATE_IMPORTS_BUNDLER_BLINDNESS.md"
"NCR_GATE_IMPORTS_PATH_BUG","RESOLVED","UNKNOWN","UNKNOWN","nexus\proof\NCR_GATE_IMPORTS_PATH_BUG.md"
"NCR_GATING_EFFECT_SIZE_UNSTABLE","UNKNOWN","HIGH","UNKNOWN","nexus\proof\NCR_GATING_EFFECT_SIZE_UNSTABLE.md"
"NCR_M2_ADAPTIVE_DEADLOCK_INTERIOR","FIX_VALIDATED_SCOPED","HIGH","P0","nexus\proof\NCR_M2_ADAPTIVE_DEADLOCK_INTERIOR.md"
"NCR_R6_BENCH_SOURCE_MISSING_S7P1","OPEN","MEDIUM","P2","nexus\proof\NCR_R6_BENCH_SOURCE_MISSING.md"
"NCR_S6_TAG_PREMATURE","DOCUMENTED","P1","UNKNOWN","nexus\proof\NCR_S6_TAG_PREMATURE.md"
"NCR_SCORER_STYLE_BIAS","UNKNOWN","MEDIUM","P2","nexus\proof\NCR_SCORER_STYLE_BIAS.md"
"UNKNOWN","UNKNOWN","MEDIUM","UNKNOWN","nexus\proof\NCR_SEAL_V2B_DUEL_ENGINE.md"
"NCR_UNSTAGED_DRIFT_2026-04-19","UNKNOWN","MEDIUM","UNKNOWN","nexus\proof\NCR_UNSTAGED_DRIFT_2026-04-19.md"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","nexus\proof\completeness\NCR-NEXUS-TRACE-001.md"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","nexus\raw\src\utils\encryption.ts"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","nexus\raw\tests\encryption.test.ts"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega\outputs\NCR_REGISTRY_2026-04-29.csv"
"NCR_R6_BENCH_SOURCE_MISSING_S7P1","OPEN","MEDIUM","P2","omega\outputs\OMEGA_TRIBUNAL_2026-04-26\S7_REVALIDATION\02_NCR_R6_BENCH_SOURCE_MISSING_DRAFT.md"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\.venv311\Lib\site-packages\anthropic\types\encrypted_code_execution_result_block_param.py"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\.venv311\Lib\site-packages\anthropic\types\encrypted_code_execution_result_block.py"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\.venv311\Lib\site-packages\anthropic\types\beta\beta_encrypted_code_execution_result_block_param.py"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\.venv311\Lib\site-packages\anthropic\types\beta\beta_encrypted_code_execution_result_block.py"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\.venv311\Lib\site-packages\anthropic\types\beta\__pycache__\beta_encrypted_code_execution_result_block_param.cpython-311.pyc"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\.venv311\Lib\site-packages\anthropic\types\beta\__pycache__\beta_encrypted_code_execution_result_block.cpython-311.pyc"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\.venv311\Lib\site-packages\anthropic\types\__pycache__\encrypted_code_execution_result_block_param.cpython-311.pyc"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\.venv311\Lib\site-packages\anthropic\types\__pycache__\encrypted_code_execution_result_block.cpython-311.pyc"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\.venv311\Lib\site-packages\PyPDF2\_encryption.py"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\.venv311\Lib\site-packages\PyPDF2\__pycache__\_encryption.cpython-311.pyc"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\corpus_r\features\dencre_et_de_sang_french_edition_anna_briac.json"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\corpus_r\features\pdf_encre_sympathique_french_edition_patrick_modiano.json"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\corpus_r\txt\dencre_et_de_sang_french_edition_anna_briac.txt"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\corpus_r\txt\pdf_encre_sympathique_french_edition_patrick_modiano.txt"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\livre_cache\Anna_Briac_Dencre_et_de_sang.txt"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\livre_cache\Patrick_Modiano_Encre_sympathique.txt"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\results_r1\modiano_Encre_Sympathique.json"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\results_v3\modiano_Encre_Sympathique.json"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\results_v4\modiano_Encre_Sympathique.json"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\results_v4\chapters\anna_briac_dencre_et_de_sang_ch00.json"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\results_v4\chapters\anna_briac_dencre_et_de_sang_ch01.json"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\results_v4\chapters\anna_briac_dencre_et_de_sang_ch02.json"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\results_v4\chapters\patrick_modiano_encre_sympathique_ch00.json"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\results_v4\chapters\patrick_modiano_encre_sympathique_ch01.json"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\results_v4\chapters\patrick_modiano_encre_sympathique_ch02.json"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\scenes_v3\modiano\Encre Sympathiq_APEX.txt"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\scenes_v3\modiano\Encre Sympathiq_NEUTRE.txt"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\scenes_v3\modiano\Encre Sympathiq_RANDOM_00.txt"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\scenes_v3\modiano\Encre Sympathiq_RANDOM_01.txt"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\scenes_v3\modiano\Encre Sympathiq_RANDOM_02.txt"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\scenes_v3\modiano\Encre Sympathiq_RANDOM_03.txt"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\scenes_v3\modiano\Encre Sympathiq_RANDOM_04.txt"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\scenes_v3\modiano\Encre Sympathiq_RANDOM_05.txt"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\scenes_v3\modiano\Encre Sympathiq_RANDOM_06.txt"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\scenes_v3\modiano\Encre Sympathiq_SEUIL.txt"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\scenes_v4\modiano\Encre_Sympathiq_APEX.txt"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\scenes_v4\modiano\Encre_Sympathiq_CLIMAX.txt"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\scenes_v4\modiano\Encre_Sympathiq_EXPLICIT.txt"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\scenes_v4\modiano\Encre_Sympathiq_INCIPIT.txt"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\scenes_v4\modiano\Encre_Sympathiq_NEUTRE.txt"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\scenes_v4\modiano\Encre_Sympathiq_SEUIL.txt"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\scenes_v4\modiano\Encre_Sympathique_APEX.txt"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\scenes_v4\modiano\Encre_Sympathique_CLIMAX.txt"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\scenes_v4\modiano\Encre_Sympathique_EXPLICIT.txt"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\scenes_v4\modiano\Encre_Sympathique_INCIPIT.txt"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\scenes_v4\modiano\Encre_Sympathique_NEUTRE.txt"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","omega-autopsie\scenes_v4\modiano\Encre_Sympathique_SEUIL.txt"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","packages\integration-nexus-dep\docs\NCR_CLOSURE.md"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","packages\omega-runner\dist\orchestrator\runCreate.d.ts"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","packages\omega-runner\dist\orchestrator\runCreate.d.ts.map"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","packages\omega-runner\dist\orchestrator\runCreate.js"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","packages\omega-runner\dist\orchestrator\runCreate.js.map"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","packages\omega-runner\src\orchestrator\runCreate.ts"
"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","packages\sovereign-engine\tests\bench\ncr-m2-v4-fusion.test.ts"
