filename,tier,lang,chapter_idx,chapter_title,chapter_words,has_chapter_structure
a_ghetto_tale_from_ebony_ladies_night_chronicles_antoinette_sherell.txt,D,fr,0,I,4133,True
a_ghetto_tale_from_ebony_ladies_night_chronicles_antoinette_sherell.txt,D,fr,1,14.,9748,True
a_ghetto_tale_from_ebony_ladies_night_chronicles_antoinette_sherell.txt,D,fr,2,D,3278,True
a_ghetto_tale_from_ebony_ladies_night_chronicles_antoinette_sherell.txt,D,fr,3,I,14895,True
a_ghetto_tale_from_ebony_ladies_night_chronicles_antoinette_sherell.txt,D,fr,4,I,10054,True
a_ghetto_tale_from_ebony_ladies_night_chronicles_antoinette_sherell.txt,D,fr,5,I,2902,True
a_ghetto_tale_from_ebony_ladies_night_chronicles_antoinette_sherell.txt,D,fr,6,I,5149,True
a_ghetto_tale_from_ebony_ladies_night_chronicles_antoinette_sherell.txt,D,fr,7,I,3793,True
a_lady_most_alluring_a_grimm_regency_tale_amy_newbold.txt,C,fr,0,CHAPTER 14,1164,True
a_lady_most_alluring_a_grimm_regency_tale_amy_newbold.txt,C,fr,1,CHAPTER 15,1140,True
a_lady_most_alluring_a_grimm_regency_tale_amy_newbold.txt,C,fr,2,CHAPTER 16,1182,True
a_lady_most_alluring_a_grimm_regency_tale_amy_newbold.txt,C,fr,3,C,1299,True
a_lady_most_alluring_a_grimm_regency_tale_amy_newbold.txt,C,fr,4,CHAPTER 18,1309,True
a_lady_most_alluring_a_grimm_regency_tale_amy_newbold.txt,C,fr,5,CHAPTER 19,1221,True
a_lady_most_alluring_a_grimm_regency_tale_amy_newbold.txt,C,fr,6,CHAPTER 20,883,True
a_lady_most_alluring_a_grimm_regency_tale_amy_newbold.txt,C,fr,7,C,1291,True
a_lady_most_alluring_a_grimm_regency_tale_amy_newbold.txt,C,fr,8,C,2021,True
a_lady_most_alluring_a_grimm_regency_tale_amy_newbold.txt,C,fr,9,C,1585,True
a_lady_most_alluring_a_grimm_regency_tale_amy_newbold.txt,C,fr,10,CHAPTER 2,1341,True
a_lady_most_alluring_a_grimm_regency_tale_amy_newbold.txt,C,fr,11,CHAPTER 3,1112,True
a_lady_most_alluring_a_grimm_regency_tale_amy_newbold.txt,C,fr,12,CHAPTER 4,1120,True
a_lady_most_alluring_a_grimm_regency_tale_amy_newbold.txt,C,fr,13,CHAPTER 5,2601,True
a_lady_most_alluring_a_grimm_regency_tale_amy_newbold.txt,C,fr,14,CHAPTER 6,1391,True
a_lady_most_alluring_a_grimm_regency_tale_amy_newbold.txt,C,fr,15,C,1596,True
a_lady_most_alluring_a_grimm_regency_tale_amy_newbold.txt,C,fr,16,CHAPTER 8,1808,True
a_lady_most_alluring_a_grimm_regency_tale_amy_newbold.txt,C,fr,17,C,2757,True
a_lady_most_alluring_a_grimm_regency_tale_amy_newbold.txt,C,fr,18,CHAPTER 10,1716,True
a_lady_most_alluring_a_grimm_regency_tale_amy_newbold.txt,C,fr,19,I,2247,True
a_lady_most_alluring_a_grimm_regency_tale_amy_newbold.txt,C,fr,20,CHAPTER 12,1169,True
a_lady_most_alluring_a_grimm_regency_tale_amy_newbold.txt,C,fr,21,M,2858,True
a_love_story_emile_zola.txt,S,fr,0,C,3150,True
a_love_story_emile_zola.txt,S,fr,1,1,1261,True
a_love_story_emile_zola.txt,S,fr,2,Chapter 1,316,True
a_love_story_emile_zola.txt,S,fr,3,Chapter 2,258,True
a_love_story_emile_zola.txt,S,fr,4,2,407,True
a_love_story_emile_zola.txt,S,fr,5,5,367,True
a_love_story_emile_zola.txt,S,fr,6,7,720,True
a_love_story_emile_zola.txt,S,fr,7,11,1992,True
a_love_story_emile_zola.txt,S,fr,8,Chapter 1,3685,True
a_love_story_emile_zola.txt,S,fr,9,Chapter 2,3664,True
a_love_story_emile_zola.txt,S,fr,10,Chapter 3,4481,True
a_love_story_emile_zola.txt,S,fr,11,Chapter 4,4304,True
a_love_story_emile_zola.txt,S,fr,12,Chapter 5,3827,True
a_love_story_emile_zola.txt,S,fr,13,Chapter 1,4505,True
a_love_story_emile_zola.txt,S,fr,14,Chapter 2,4026,True
a_love_story_emile_zola.txt,S,fr,15,Chapter 3,3919,True
a_love_story_emile_zola.txt,S,fr,16,Chapter 4,4912,True
a_love_story_emile_zola.txt,S,fr,17,Chapter 5,4226,True
a_love_story_emile_zola.txt,S,fr,18,Chapter 1,5475,True
a_love_story_emile_zola.txt,S,fr,19,Chapter 2,4771,True
a_love_story_emile_zola.txt,S,fr,20,Chapter 3,4546,True
a_love_story_emile_zola.txt,S,fr,21,Chapter 4,4657,True
a_love_story_emile_zola.txt,S,fr,22,Chapter 5,3973,True
a_love_story_emile_zola.txt,S,fr,23,Chapter 1,4437,True
a_love_story_emile_zola.txt,S,fr,24,Chapter 2,5083,True
a_love_story_emile_zola.txt,S,fr,25,Chapter 3,4765,True
a_love_story_emile_zola.txt,S,fr,26,Chapter 4,4277,True
a_love_story_emile_zola.txt,S,fr,27,Chapter 5,4528,True
a_love_story_emile_zola.txt,S,fr,28,Chapter 1,4350,True
a_love_story_emile_zola.txt,S,fr,29,Chapter 2,4783,True
a_love_story_emile_zola.txt,S,fr,30,CHAPTER 3,4826,True
a_love_story_emile_zola.txt,S,fr,31,Chapter 4,4359,True
a_love_story_emile_zola.txt,S,fr,32,Chapter 5,3949,True
a_love_story_emile_zola_1.txt,S,fr,0,C,3150,True
a_love_story_emile_zola_1.txt,S,fr,1,1,1261,True
a_love_story_emile_zola_1.txt,S,fr,2,Chapter 1,316,True
a_love_story_emile_zola_1.txt,S,fr,3,Chapter 2,258,True
a_love_story_emile_zola_1.txt,S,fr,4,2,407,True
a_love_story_emile_zola_1.txt,S,fr,5,5,367,True
a_love_story_emile_zola_1.txt,S,fr,6,7,720,True
a_love_story_emile_zola_1.txt,S,fr,7,11,1992,True
a_love_story_emile_zola_1.txt,S,fr,8,Chapter 1,3685,True
a_love_story_emile_zola_1.txt,S,fr,9,Chapter 2,3664,True
a_love_story_emile_zola_1.txt,S,fr,10,Chapter 3,4481,True
a_love_story_emile_zola_1.txt,S,fr,11,Chapter 4,4304,True
a_love_story_emile_zola_1.txt,S,fr,12,Chapter 5,3827,True
a_love_story_emile_zola_1.txt,S,fr,13,Chapter 1,4505,True
a_love_story_emile_zola_1.txt,S,fr,14,Chapter 2,4026,True
a_love_story_emile_zola_1.txt,S,fr,15,Chapter 3,3919,True
a_love_story_emile_zola_1.txt,S,fr,16,Chapter 4,4912,True
a_love_story_emile_zola_1.txt,S,fr,17,Chapter 5,4226,True
a_love_story_emile_zola_1.txt,S,fr,18,Chapter 1,5475,True
a_love_story_emile_zola_1.txt,S,fr,19,Chapter 2,4771,True
a_love_story_emile_zola_1.txt,S,fr,20,Chapter 3,4546,True
a_love_story_emile_zola_1.txt,S,fr,21,Chapter 4,4657,True
a_love_story_emile_zola_1.txt,S,fr,22,Chapter 5,3973,True
a_love_story_emile_zola_1.txt,S,fr,23,Chapter 1,4437,True
a_love_story_emile_zola_1.txt,S,fr,24,Chapter 2,5083,True
a_love_story_emile_zola_1.txt,S,fr,25,Chapter 3,4765,True
a_love_story_emile_zola_1.txt,S,fr,26,Chapter 4,4277,True
a_love_story_emile_zola_1.txt,S,fr,27,Chapter 5,4528,True
a_love_story_emile_zola_1.txt,S,fr,28,Chapter 1,4350,True
a_love_story_emile_zola_1.txt,S,fr,29,Chapter 2,4783,True
a_love_story_emile_zola_1.txt,S,fr,30,CHAPTER 3,4826,True
a_love_story_emile_zola_1.txt,S,fr,31,Chapter 4,4359,True
a_love_story_emile_zola_1.txt,S,fr,32,Chapter 5,3949,True
a_symphony_of_secrets_the_sins_we_hide_series_book_4_cree_say.txt,C,en,0,FULL_TEXT,83464,False
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,0,d,531,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,1,305,509,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,2,C,388,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,3,xiii,356,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,4,xiv,207,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,5,22,264,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,6,Chapter 1,285,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,7,3,271,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,8,4,516,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,9,5,550,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,10,6,329,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,11,9,599,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,12,10,664,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,13,11,279,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,14,12,442,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,15,14,329,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,16,15,442,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,17,16,229,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,18,17,401,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,19,18,346,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,20,19,477,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,21,20,417,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,22,22,415,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,23,Chapter 2,410,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,24,24,512,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,25,25,624,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,26,27,620,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,27,28,500,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,28,29,556,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,29,30,662,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,30,31,432,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,31,32,643,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,32,33,587,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,33,34,584,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,34,35,1005,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,35,37,518,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,36,38,540,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,37,39,520,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,38,40,521,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,39,41,499,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,40,42,475,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,41,43,485,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,42,44,541,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,43,45,574,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,44,46,581,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,45,47,520,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,46,48,465,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,47,49,399,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,48,50,438,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,49,51,377,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,50,52,495,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,51,53,560,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,52,54,619,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,53,55,532,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,54,cl,279,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,55,57,673,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,56,58,279,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,57,59,230,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,58,60,640,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,59,61,737,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,60,62,270,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,61,63,609,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,62,64,560,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,63,25,328,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,64,75,317,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,65,76,218,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,66,77,203,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,67,Chapter 3,497,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,68,81,338,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,69,83,692,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,70,84,673,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,71,86,211,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,72,87,518,True
acquired_language_disorders_spanish_edition_evelyn_r_klein.txt,B,es,73,l.,240,True
