size,feature,n,mean,median,std,cv,min,max,p10,p25,p50,p75,p90,iqr
200,mean_sent_len,582547,18.891584,16.667,10.107639,0.535,2.074,100.0,10.0,12.5,16.667,22.222,28.571,9.722
200,cv_sent,582547,0.674836,0.6499,0.198195,0.2937,0.0,2.9787,0.456,0.5435,0.6499,0.7764,0.9219,0.2329
200,f1a_rhythm_variance,582547,12.758417,10.53,9.011962,0.7064,0.0,140.007,6.035,7.738,10.53,14.831,21.098,7.093
200,f1b_rhythm_ratio,582547,15.21002,11.5,12.510064,0.8225,1.0,199.0,4.636,7.0,11.5,19.0,31.0,12.0
200,f26b_long_sent_rate,582547,0.086905,0.0,0.141933,1.6332,0.0,1.0,0.0,0.0,0.0,0.1111,0.2857,0.1111
200,f17_knife_count,582547,2.619099,2.0,3.523833,1.3454,0.0,94.0,0.0,0.0,2.0,4.0,6.0,4.0
200,knife_rate,582547,0.159385,0.1429,0.140862,0.8838,0.0,1.0,0.0,0.0,0.1429,0.25,0.35,0.25
200,ratio_alt,582547,0.059041,0.0,0.091086,1.5428,0.0,0.8571,0.0,0.0,0.0,0.1,0.1818,0.1
200,f29d_ttr_score,582547,0.704111,0.7,0.037056,0.0526,0.1487,1.0,0.7,0.7,0.7,0.7,0.7,0.0
200,f16a_bigram_rarity,582547,0.98861,0.9921,0.018822,0.019,0.2422,1.0,0.97,0.9835,0.9921,1.0,1.0,0.0165
200,sub_per_sentence,582547,0.650373,0.5,0.582811,0.8961,0.0,25.0,0.154,0.286,0.5,0.833,1.286,0.547
200,dialogue_ratio,582547,0.092776,0.0,0.274996,2.9641,0.0,11.0,0.0,0.0,0.0,0.0526,0.2857,0.0526
200,f35c_hook_score,582547,0.544658,0.5,0.177194,0.3253,0.1,1.0,0.4,0.5,0.5,0.7,0.8,0.2
200,f36c_cliff_score,582547,0.642189,0.7,0.096921,0.1509,0.1,0.8,0.5,0.6,0.7,0.7,0.7,0.1
200,f24c_contrast_delta,582547,14.323871,15.943,11.009079,0.7686,0.0,58.4,0.0,0.0,15.943,22.167,28.0,22.167
200,f19a_approx_entropy,582547,0.674817,0.6499,0.19805,0.2935,0.0,2.0,0.456,0.5435,0.6499,0.7764,0.9219,0.2329
200,cv_para,582547,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,mean_sent_len,394883,18.943607,16.667,10.649698,0.5622,2.336,250.0,10.417,12.795,16.667,22.636,29.412,9.841
500,cv_sent,394883,0.700636,0.6743,0.175122,0.2499,0.0057,3.7954,0.5187,0.5884,0.6743,0.7791,0.9061,0.1907
500,f1a_rhythm_variance,394883,13.384132,11.218,10.057266,0.7514,0.741,352.139,6.716,8.341,11.218,15.564,21.292,7.223
500,f1b_rhythm_ratio,394883,25.598,20.0,18.825707,0.7354,1.008,499.0,9.0,13.0,20.0,33.0,48.0,20.0
500,f26b_long_sent_rate,394883,0.08671,0.0357,0.122866,1.417,0.0,1.0,0.0,0.0,0.0357,0.12,0.2381,0.12
500,f17_knife_count,394883,6.093319,4.0,7.165966,1.176,0.0,212.0,0.0,2.0,4.0,8.0,14.0,6.0
500,knife_rate,394883,0.156868,0.1429,0.117031,0.7461,0.0,0.9944,0.0,0.0667,0.1429,0.2273,0.3111,0.1606
500,ratio_alt,394883,0.057906,0.0417,0.063974,1.1048,0.0,0.6667,0.0,0.0,0.0417,0.087,0.1429,0.087
