tier,n_windows,feature,n,mean,median,std,cv,min,max,p10,p25,p50,p75,p90,iqr
S,139671,mean_sent_len,139671,22.104268,19.88,12.537118,0.5672,2.336,250.0,12.475,15.152,19.88,25.0,33.333,9.848
S,139671,cv_sent,139671,0.725786,0.6978,0.192513,0.2652,0.017,3.7954,0.5254,0.6019,0.6978,0.8132,0.9501,0.2113
S,139671,f1a_rhythm_variance,139671,16.074791,13.632,12.350026,0.7683,0.741,352.139,8.401,10.513,13.632,18.091,24.575,7.578
S,139671,f1b_rhythm_ratio,139671,26.652003,20.0,21.030796,0.7891,1.024,499.0,8.571,12.75,20.0,34.0,53.0,21.25
S,139671,f26b_long_sent_rate,139671,0.125772,0.08,0.140066,1.1137,0.0,1.0,0.0,0.0303,0.08,0.1739,0.3125,0.1436
S,139671,f17_knife_count,139671,4.578832,3.0,7.687993,1.679,0.0,212.0,0.0,1.0,3.0,6.0,10.0,5.0
S,139671,knife_rate,139671,0.130801,0.1111,0.115029,0.8794,0.0,0.9944,0.0,0.0476,0.1111,0.1892,0.275,0.1416
S,139671,ratio_alt,139671,0.070349,0.0556,0.068251,0.9702,0.0,0.6667,0.0,0.0,0.0556,0.1053,0.16,0.1053
S,139671,f29d_ttr_score,139671,0.746444,0.7431,0.02534,0.0339,0.2275,0.9869,0.7194,0.7292,0.7431,0.7594,0.7779,0.0302
S,139671,f16a_bigram_rarity,139671,0.982548,0.9871,0.020218,0.0206,0.4615,1.0,0.9632,0.9767,0.9871,0.9935,0.9973,0.0168
S,139671,sub_per_sentence,139671,0.828302,0.68,0.763115,0.9213,0.0,49.5,0.295,0.448,0.68,1.0,1.462,0.552
S,139671,dialogue_ratio,139671,0.08635,0.0,0.230107,2.6648,0.0,12.5,0.0,0.0,0.0,0.0714,0.2333,0.0714
S,139671,f35c_hook_score,139671,0.526207,0.5,0.188476,0.3582,0.1,1.0,0.3,0.4,0.5,0.604,0.8,0.204
S,139671,f36c_cliff_score,139671,0.630522,0.7,0.105063,0.1666,0.1,0.8,0.5,0.6,0.7,0.7,0.7,0.1
S,139671,f24c_contrast_delta,139671,32.24719,29.804,14.500993,0.4497,0.0,154.833,18.083,23.111,29.804,38.667,49.833,15.556
S,139671,f19a_approx_entropy,139671,0.725432,0.6978,0.189695,0.2615,0.017,2.0,0.5254,0.6019,0.6978,0.8132,0.9501,0.2113
S,139671,cv_para,139671,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,42432,mean_sent_len,42432,19.126511,16.6,11.260725,0.5887,4.941,250.0,10.102,12.195,16.6,22.727,29.412,10.532
A,42432,cv_sent,42432,0.712916,0.68895,0.175523,0.2462,0.0057,2.5511,0.5273,0.6004,0.68895,0.7959,0.9179,0.1955
A,42432,f1a_rhythm_variance,42432,13.665802,11.4135,10.425294,0.7629,1.414,347.897,6.701,8.29475,11.4135,15.977,21.5322,7.68225
A,42432,f1b_rhythm_ratio,42432,26.519844,21.5,18.56335,0.7,1.008,387.0,9.333,14.0,21.5,34.0,49.0,20.0
A,42432,f26b_long_sent_rate,42432,0.091862,0.0385,0.126834,1.3807,0.0,1.0,0.0,0.0,0.0385,0.1364,0.25,0.1364
A,42432,f17_knife_count,42432,6.666973,4.0,7.134779,1.0702,0.0,71.0,0.0,1.0,4.0,10.0,16.0,9.0
A,42432,knife_rate,42432,0.168169,0.1515,0.124167,0.7383,0.0,0.8415,0.0,0.069,0.1515,0.25,0.3396,0.181
